percentchange,high,symbol,open,relvolume,price,low,watchers,hourchange,sentiment
0.377,29.33,INTC,29.075,0.6633,29.29,28.63,130892,0,-1.84
-1.3957,102.4,GOOGL,102.44,0.707,101.03,99.7401,159815,-1,-4.31
-3.4121,7.72,CVNA,7.57,0.235,7.36,7.22,23375,-4,-0.44
-1.1796,196.515,ENPH,196.0,0.3801,193.52,190.624,37300,0,-2.8
0.0232,129.66,IBM,129.18,0.4651,129.34,128.8,51346,-1,1.27
-0.398,158.1277,AAPL,157.97,0.5555,157.65,155.98,876660,4,-2.36
-0.4161,276.13,MSFT,275.79,0.5713,275.23,272.05,442493,0,-1.76
-2.1219,96.93,AMD,96.77,0.907,94.56,92.87,456320,0,-0.46
-1.0649,201.03,META,200.15,0.535,200.68,197.9,512233,0,-3.91
0.3035,129.3417,JPM,128.71,0.7437,128.88,127.75,82452,0,-5.83
-0.4561,265.13,NVDA,264.47,0.6755,264.1,258.5,420435,0,-1.25
0.1637,461.5,NOC,458.31,0.3387,459.0,457.59,8021,1,3.57
-1.3659,192.35,TSLA,192.0,0.5363,189.19,185.43,889594,2,-3.15
-0.5226,118.4425,EA,118.085,0.5197,118.02,117.38,20713,0,4.44
-0.9464,86.6682,SONY,86.11,0.8063,85.82,85.74,2082,1,0.0
-2.9514,5.79,SOFI,5.74,0.5751,5.59,5.51,91760,3,-0.33
13.1868,5.5,AMC,4.51,2.4732,5.15,4.46,412384,18,0.8
-0.816,98.44,AMZN,98.11,0.4953,97.24,96.29,587299,1,-0.55
