percentchange,low,symbol,open,high,price,relvolume,watchers,hourchange,sentiment
-0.2323,465.0,NOC,468.73,471.94,468.1,0.3915,8034,0,0.0
1.5038,102.11,AMZN,102.75,104.2,103.95,0.6103,587798,5,2.42
-0.0174,285.67,MSFT,287.23,290.4499,287.18,0.6652,442887,-1,-0.13
-0.325,165.11,AAPL,166.595,166.83,165.63,0.5431,877176,3,1.97
-1.8309,273.08,NVDA,279.66,280.0,274.53,0.686,420940,9,0.55
0.345,104.04,GOOGL,104.33,105.58,104.72,0.5141,160046,5,4.0
-23.4834,3.88,AMC,4.08,4.45,3.91,2.4701,412839,8,-5.55
3.2056,121.23,EA,121.43,125.47,125.24,1.0756,20706,0,0.0
2.2605,8.93,CVNA,9.44,9.72,9.5,0.3434,23341,-2,-2.04
0.7744,212.54,META,213.39,216.24,214.72,0.5769,512519,0,4.77
-1.1244,190.32,TSLA,197.32,198.7446,192.58,0.711,890499,8,0.43
-0.3483,130.89,IBM,131.99,132.1499,131.6,0.5043,51358,0,0.0
-0.7146,95.21,AMD,97.038,97.27,95.87,0.6455,456542,0,-2.3
-0.3504,90.36,SONY,90.78,91.145,91.01,0.9783,2087,0,0.0
-0.0296,198.65,ENPH,202.89,203.2,202.54,0.4624,37369,0,0.63
-2.3217,5.835,SOFI,6.1,6.095,5.89,0.4678,91854,0,-0.63
0.6385,32.85,INTC,32.85,33.84,33.1,1.059,131182,0,2.54
-1.3368,127.41,JPM,130.5,130.59,128.42,0.702,82526,0,6.95
