relvolume,percentchange,high,price,open,low,symbol,watchers,hourchange,sentiment
0.7325,0.7266,126.27,126.15,125.24,124.85,EA,20707,1,7.94
0.5813,-2.7417,103.91,101.1,103.91,100.7506,AMZN,587879,1,-0.76
0.6702,-1.129,165.05,163.76,164.74,161.8,AAPL,877261,-3,-9.1
0.7872,-3.4526,94.5,92.56,94.35,91.36,AMD,456583,3,-1.27
0.5536,0.6003,473.6,470.91,467.22,467.22,NOC,8036,0,0.0
0.3189,-10.5263,9.38,8.5,9.38,8.39,CVNA,23329,0,-2.49
0.9568,-2.0836,269.98,268.81,268.29,263.95,NVDA,421067,4,-3.52
0.5446,-1.5089,215.19,211.48,214.15,209.95,META,512558,4,-4.65
0.7224,3.5806,4.09,4.05,4.07,3.94,AMC,412901,2,-0.22
0.5843,-0.9889,287.145,284.34,285.85,282.95,MSFT,442957,5,-3.07
0.609,0.1491,128.15,127.61,126.8,126.46,JPM,82526,0,-1.72
0.7518,-3.666,190.68,185.52,190.515,183.76,TSLA,890629,5,-1.55
0.7198,-1.4943,90.02,89.65,89.9,89.5312,SONY,2087,0,0.0
0.4187,0.4103,132.61,132.14,131.37,131.37,IBM,51362,-3,0.0
0.786,-2.5467,5.87,5.74,5.87,5.5801,SOFI,91880,2,0.2
0.6109,-0.2387,106.1,104.47,105.78,103.66,GOOGL,160107,0,0.53
0.7132,-0.8157,32.985,32.83,32.795,32.335,INTC,131192,1,-1.67
0.8384,-4.3794,201.62,193.67,200.0,187.73,ENPH,37387,2,-0.02
