low,open,percentchange,high,price,relvolume,symbol,watchers,hourchange,sentiment
4.865,5.11,-0.6,5.16,4.97,0.5325,AMC,412468,-3,0.69
161.271,161.53,0.989,162.47,162.36,0.5827,AAPL,876774,1,4.72
281.5,284.23,1.262,284.46,284.05,0.6427,MSFT,442606,1,-0.14
202.85,203.38,1.2126,208.09,207.84,0.6432,META,512303,-3,5.8
203.96,209.435,0.6472,214.19,205.27,0.6629,ENPH,37321,1,-2.39
127.65,129.95,-0.302,130.12,128.75,0.7826,JPM,82477,0,1.48
99.78,100.91,-0.4931,101.155,100.89,0.6807,GOOGL,159894,0,2.76
5.62,5.87,-0.5217,5.93,5.72,0.6344,SOFI,91771,1,-1.7
31.81,31.85,1.8084,32.58,32.09,1.4198,INTC,131059,0,3.85
101.01,101.55,1.7456,103.04,102.0,0.6777,AMZN,587428,0,2.88
97.25,98.0,1.8628,99.53,97.88,0.8812,AMD,456364,0,-2.46
458.5,460.46,-0.1278,462.92,460.98,0.3938,NOC,8023,0,0.0
129.1,130.16,-0.3778,131.48,129.22,0.5487,IBM,51343,0,6.76
118.85,120.0,-0.0755,120.05,119.1,0.5217,EA,20710,0,5.56
8.0748,8.08,12.1982,9.0,8.83,0.5721,CVNA,23362,0,-4.44
194.42,195.58,0.7221,197.328,195.28,0.6092,TSLA,889764,9,4.2
271.02,272.29,1.4787,274.99,273.83,0.6652,NVDA,420573,0,2.08
88.555,88.7,1.6388,89.53,89.31,1.4544,SONY,2082,0,0.0
