high,price,open,low,percentchange,symbol,relvolume,watchers,hourchange,sentiment
30.56,29.81,29.92,29.44,-1.226,INTC,1.0943,130795,1,-4.15
87.47,86.52,87.25,86.18,0.1505,SONY,1.0052,2077,0,33.33
156.74,155.0,156.08,154.28,-0.5454,AAPL,0.9896,875807,3,4.79
200.7,183.64,200.7,181.55,-8.6822,ENPH,1.684,37117,4,-3.02
263.99,257.25,259.82,256.68,0.7204,NVDA,1.3828,419189,1,2.84
7.9,7.65,7.21,7.02,3.2389,CVNA,0.4207,23308,0,0.37
186.21,180.13,184.515,177.33,-2.1724,TSLA,0.6722,888626,0,1.2
124.52,123.69,124.08,122.93,-0.8099,IBM,2.0994,51324,1,1.4
98.75,97.84,96.66,95.94,1.2836,AMD,1.4973,455823,2,-0.53
283.33,279.43,278.26,276.3201,1.1694,MSFT,1.7577,441744,0,-1.37
128.45,125.81,128.38,125.46,-3.7782,JPM,2.2173,82038,3,4.4
201.9,195.61,200.56,195.4304,-4.5479,META,1.116,511611,2,-1.09
450.16,443.6,449.81,441.305,-1.4551,NOC,0.8804,7998,1,3.41
5.54,5.46,5.47,5.33,0.1835,SOFI,0.6642,91542,-2,5.23
4.34,4.18,4.3,4.1078,-4.7836,AMC,0.6185,411722,-11,-0.12
114.0,113.35,113.65,112.98,-0.1585,EA,0.7406,20735,0,-25.0
100.65,98.95,99.79,97.455,-1.0896,AMZN,0.8764,586552,3,2.43
102.835,101.62,100.26,100.1,1.2959,GOOGL,1.2376,159516,0,1.29
