percentchange,relvolume,low,open,symbol,high,price,watchers,hourchange,sentiment
-0.6247,0.4571,210.66,214.71,META,215.66,214.75,512692,1,-1.48
0.3675,0.3892,123.74,124.79,EA,125.8,125.62,20703,0,4.44
-0.8839,0.4854,32.2,32.6,INTC,32.76,32.52,131214,2,-0.55
0.4061,0.3796,129.24,129.83,IBM,131.08,131.03,51363,-1,-1.29
3.3296,0.3262,8.62,9.0,CVNA,9.35,9.31,23316,1,4.22
-0.7579,0.6369,284.72,289.208,MSFT,289.6,289.39,443170,2,-1.35
-0.2972,0.8207,176.11,179.94,TSLA,185.0994,184.51,891057,5,-0.34
0.1078,0.5167,99.57,100.96,AMZN,102.2,102.17,588098,-2,-1.73
2.5131,0.4136,188.51,189.09,ENPH,195.9,195.8,37408,0,-1.95
6.9388,1.2692,4.74,4.77,AMC,5.37,5.24,413138,-1,1.63
1.3074,0.4565,470.98,470.98,NOC,478.17,476.54,8041,0,-16.67
3.2551,0.7903,91.02,91.32,AMD,95.79,95.48,456700,1,8.3
2.0047,0.7128,266.69,268.23,NVDA,276.2099,275.79,421321,5,1.67
2.7826,0.5343,5.66,5.69,SOFI,5.92,5.91,91903,-5,0.65
-1.5972,0.6369,160.08,161.42,AAPL,162.03,162.03,877532,0,-4.78
0.3295,0.5624,126.22,126.54,JPM,128.23,127.89,82597,2,-2.86
-1.8262,0.6059,105.12,106.98,GOOGL,107.59,106.44,160304,2,0.19
0.3856,0.4657,87.73,87.76,SONY,88.52,88.51,2088,0,0.0
