symbol,percentchange,price,low,open,high,relvolume,watchers,hourchange,sentiment
AAPL,-0.5454,155.0,154.28,156.08,156.74,0.9896,875804,5,4.54
ENPH,-8.6822,183.64,181.55,200.7,200.7,1.684,37113,4,-3.33
NVDA,0.7204,257.25,256.68,259.82,263.99,1.3828,419188,9,2.88
CVNA,3.2389,7.65,7.02,7.21,7.9,0.4207,23308,0,0.57
IBM,-0.8099,123.69,122.93,124.08,124.52,2.0994,51323,1,2.51
AMD,1.2836,97.84,95.94,96.66,98.75,1.4973,455821,1,-0.39
TSLA,-2.1724,180.13,177.33,184.515,186.21,0.6722,888626,5,1.73
MSFT,1.1694,279.43,276.3201,278.26,283.33,1.7577,441744,8,-1.31
JPM,-3.7782,125.81,125.46,128.38,128.45,2.2173,82035,3,4.23
META,-4.5479,195.61,195.4304,200.56,201.9,1.116,511609,2,-1.01
AMC,-4.7836,4.18,4.1078,4.3,4.34,0.6185,411733,3,-0.02
NOC,-1.4551,443.6,441.305,449.81,450.16,0.8804,7997,0,3.41
SOFI,0.1835,5.46,5.33,5.47,5.54,0.6642,91544,-3,5.25
EA,-0.1585,113.35,112.98,113.65,114.0,0.7406,20735,0,-25.0
AMZN,-1.0896,98.95,97.455,99.79,100.65,0.8764,586549,6,2.58
GOOGL,1.2959,101.62,100.1,100.26,102.835,1.2376,159516,2,1.84
INTC,-1.226,29.81,29.44,29.92,30.56,1.0943,130794,3,-4.17
SONY,0.1505,86.52,86.18,87.25,87.47,1.0052,2077,0,33.33
