price,percentchange,high,open,low,symbol,relvolume,watchers,hourchange,sentiment
267.79,-1.5152,271.67,270.31,263.55,NVDA,0.8619,420202,6,-1.07
8.19,-1.9162,8.47,8.18,7.95,CVNA,0.2716,23417,0,-0.49
97.95,-2.3235,99.52,99.18,96.74,AMD,1.0179,456184,3,-2.45
125.29,1.5563,125.4,123.36,122.88,IBM,0.6283,51327,0,-2.11
160.25,0.8306,160.34,158.86,157.85,AAPL,0.6983,876403,3,-1.12
280.57,1.048,280.63,277.24,275.3,MSFT,0.7429,442258,6,0.18
455.25,2.4323,456.2,445.08,443.105,NOC,0.7919,8012,0,-10.23
119.03,2.5767,119.205,118.08,117.61,EA,0.8715,20720,0,0.0
5.74,-0.692,5.83,5.675,5.645,SOFI,0.4643,91707,3,-0.31
4.47,0.0,4.54,4.4,4.38,AMC,0.283,411928,0,0.06
29.36,1.1368,29.81,29.04,28.93,INTC,1.0801,130867,-2,-2.08
98.13,-0.5876,98.295,98.065,96.4,AMZN,0.6949,587053,5,-1.0
206.01,0.8469,207.574,205.18,203.55,META,0.7884,512051,3,2.95
190.41,-0.9416,192.36,191.65,187.15,TSLA,0.6231,889285,11,-1.16
105.44,-0.1515,105.49,104.99,103.84,GOOGL,0.6651,159720,0,-3.52
87.53,-0.8383,88.3,88.3,86.96,SONY,1.3895,2082,0,0.0
195.99,-4.2363,203.55,202.35,192.46,ENPH,0.8771,37275,0,4.49
124.91,-1.5216,125.68,125.63,123.11,JPM,1.496,82371,0,0.29
