open,high,price,relvolume,symbol,low,percentchange,watchers,hourchange,sentiment
32.77,32.89,32.02,0.5877,INTC,31.96,-1.0201,131234,0,-5.31
6.06,6.05,5.82,0.9555,SOFI,5.67,-2.5126,91919,0,-0.21
130.4,130.87,128.54,0.6074,IBM,128.18,-1.4415,51367,0,-2.42
126.28,127.1812,126.13,0.4105,EA,125.82,0.3581,20702,1,-16.67
467.43,474.7299,472.77,0.4255,NOC,466.03,0.961,8038,0,0.0
94.97,94.995,92.33,0.8136,AMD,91.74,-1.8079,456746,3,6.03
284.79,287.01,283.49,0.7301,MSFT,281.96,0.2334,443294,2,-1.73
9.79,10.32,9.24,0.5844,CVNA,8.79,-5.3279,23330,3,7.13
161.22,162.06,160.1,0.6508,AAPL,159.78,-0.4353,877677,-3,0.8
5.62,5.74,5.34,0.827,AMC,5.34,-1.6575,413211,-8,0.52
90.0,90.4,89.44,0.4882,SONY,89.29,0.5961,2089,0,0.0
129.18,130.43,128.5,0.66,JPM,128.0603,-0.0156,82616,-2,0.59
273.7,274.63,264.95,0.8408,NVDA,264.4786,-2.4808,421429,6,1.72
214.835,216.84,214.0,0.5478,META,212.584,0.0701,512757,0,-1.25
190.74,191.58,180.54,0.8639,TSLA,180.31,-3.346,891210,0,-0.13
106.58,106.75,104.64,0.5099,GOOGL,104.34,-0.6739,160339,0,-0.19
199.9,201.26,196.03,0.4414,ENPH,195.81,-0.4317,37409,3,1.68
100.4,100.51,97.83,0.7773,AMZN,97.705,-2.0917,588254,5,-1.25
