open,percentchange,price,symbol,high,relvolume,low,watchers,hourchange,sentiment
125.13,0.0478,125.68,EA,126.25,0.4521,124.74,20704,0,-10.0
162.35,-0.7591,160.8,AAPL,162.36,0.6091,160.51,877606,-1,-3.47
186.69,1.2357,186.79,TSLA,189.19,0.6665,185.65,891155,8,0.19
100.8,-2.2022,99.92,AMZN,100.99,0.8239,99.01,588190,3,-4.46
128.3,0.4926,128.52,JPM,128.94,0.6398,127.54,82602,0,0.89
9.79,4.8335,9.76,CVNA,10.85,0.7987,9.6,23338,1,12.12
476.12,-1.7354,468.27,NOC,476.12,0.5013,467.525,8038,0,13.33
285.75,-2.2668,282.83,MSFT,285.87,0.7591,281.64,443238,2,-2.79
5.45,3.626,5.43,AMC,5.63,0.9069,5.25,413177,4,3.54
195.9,0.5516,196.88,ENPH,199.04,0.3554,193.14,37408,1,-0.55
96.06,-1.5186,94.03,AMD,96.065,0.7947,92.7,456726,2,2.96
106.55,-1.0241,105.35,GOOGL,106.73,0.583,104.68,160325,-1,-0.71
32.66,-0.5228,32.35,INTC,33.11,0.4705,32.32,131227,2,-10.69
130.58,-0.4655,130.42,IBM,131.105,0.4743,130.18,51367,0,0.0
89.24,0.4519,88.91,SONY,89.49,0.5067,88.83,2089,0,0.0
5.91,1.0152,5.97,SOFI,6.02,0.662,5.86,91921,1,3.28
277.235,-1.4866,271.69,NVDA,277.89,0.5674,271.26,421378,0,1.68
215.48,-0.4191,213.85,META,216.02,0.4677,213.43,512737,2,-2.5
