percentchange,low,high,price,open,relvolume,symbol,watchers,hourchange,sentiment
3.0954,98.5801,100.4218,100.25,98.69,0.6207,AMZN,587352,2,1.22
2.3271,202.54,205.72,205.35,203.56,0.5083,META,512243,1,0.12
0.2017,127.77,130.22,129.14,130.1,0.9598,JPM,82460,1,-0.93
2.8623,5.65,5.9199,5.75,5.69,0.7071,SOFI,91762,2,-1.08
0.3563,100.655,102.43,101.39,102.28,0.6183,GOOGL,159836,0,4.31
-2.9126,4.83,5.2084,5.0,5.14,0.765,AMC,412480,-5,-0.59
5.3896,191.385,205.77,203.95,196.75,0.7832,ENPH,37308,1,-0.62
2.1734,265.97,270.77,269.84,268.25,0.7093,NVDA,420470,0,-1.37
2.3887,86.74,88.02,87.87,86.93,1.1442,SONY,2084,0,0.0
1.618,94.87,96.91,96.09,96.07,0.8339,AMD,456332,0,-0.21
7.6135,29.789,31.89,31.52,29.77,1.6683,INTC,130911,8,7.05
2.479,189.44,195.28,193.88,193.13,0.674,TSLA,889638,9,0.48
6.9293,7.37,7.9,7.87,7.47,0.2295,CVNA,23365,1,-7.63
0.9914,118.08,119.325,119.19,118.08,0.4098,EA,20708,-1,0.0
1.9184,278.41,281.1398,280.51,278.96,0.5914,MSFT,442530,0,-1.71
0.2861,129.18,130.348,129.71,130.12,0.4977,IBM,51343,-1,0.76
1.9791,159.35,161.04,160.77,159.37,0.6109,AAPL,876718,11,-0.3
0.5599,457.495,462.58,461.57,459.38,0.4154,NOC,8021,0,25.0
