symbol,percentchange,open,price,relvolume,high,low,watchers,hourchange,sentiment
EA,0.7266,125.24,126.15,0.7325,126.27,124.85,20706,0,10.71
AMZN,-2.7417,103.91,101.1,0.5813,103.91,100.7506,587878,6,-0.79
AAPL,-1.129,164.74,163.76,0.6702,165.05,161.8,877257,0,-9.17
AMD,-3.4526,94.35,92.56,0.7872,94.5,91.36,456578,-1,-1.57
NOC,0.6003,467.22,470.91,0.5536,473.6,467.22,8036,0,0.0
CVNA,-10.5263,9.38,8.5,0.3189,9.38,8.39,23329,-2,-1.66
NVDA,-2.0836,268.29,268.81,0.9568,269.98,263.95,421060,3,-3.56
META,-1.5089,214.15,211.48,0.5446,215.19,209.95,512552,7,-4.45
AMC,3.5806,4.07,4.05,0.7224,4.09,3.94,412892,5,-0.71
MSFT,-0.9889,285.85,284.34,0.5843,287.145,282.95,442949,4,-4.17
JPM,0.1491,126.8,127.61,0.609,128.15,126.46,82525,0,-0.04
TSLA,-3.666,190.515,185.52,0.7518,190.68,183.76,890624,7,-1.42
SONY,-1.4943,89.9,89.65,0.7198,90.02,89.5312,2087,0,0.0
IBM,0.4103,131.37,132.14,0.4187,132.61,131.37,51366,0,0.0
SOFI,-2.5467,5.87,5.74,0.786,5.87,5.5801,91874,2,0.48
GOOGL,-0.2387,105.78,104.47,0.6109,106.1,103.66,160105,2,-0.01
INTC,-0.8157,32.795,32.83,0.7132,32.985,32.335,131189,-1,-1.85
ENPH,-4.3794,200.0,193.67,0.8384,201.62,187.73,37381,0,0.52
