relvolume,low,symbol,percentchange,price,open,high,watchers,hourchange,sentiment
0.6306,88.055,AMD,-1.8644,88.43,89.8,89.72,456942,0,0.91
1.2806,105.08,AMZN,3.0344,106.96,106.1,108.15,588940,4,0.55
0.7409,161.33,TSLA,1.2823,165.08,164.8,166.0,892747,9,1.13
0.5543,104.79,GOOGL,0.114,105.41,105.47,106.0,160606,-1,-0.92
0.2397,7.735,CVNA,1.75,8.14,7.97,8.29,23257,0,-1.24
0.5057,219.9,ENPH,-0.5249,223.61,223.75,226.77,37490,3,1.65
0.7484,91.61,SONY,0.7332,92.05,91.87,92.38,2089,0,0.0
0.6011,468.84,NOC,-0.4618,471.99,475.72,474.875,8044,0,1.43
0.4494,5.85,SOFI,0.3378,5.94,5.9,5.99,91962,2,0.01
0.3518,4.91,AMC,0.4024,4.99,4.94,5.07,413187,2,0.21
0.5032,30.225,INTC,-1.8146,30.3,30.84,30.79,131286,0,-1.16
0.6957,138.78,JPM,-0.1917,140.54,139.74,141.11,82973,-1,-3.92
0.504,128.695,EA,0.2407,129.11,129.05,130.12,20702,0,10.0
0.5756,283.0608,MSFT,-0.1223,285.76,285.01,286.26,443720,-1,-1.66
0.644,267.2301,NVDA,0.0553,271.19,269.52,271.83,422040,3,1.39
1.0535,125.27,IBM,-0.4986,125.73,126.0,126.69,51487,0,1.75
0.5292,209.76,META,-0.0845,212.89,210.21,213.41,513005,3,-1.19
0.7882,164.5,AAPL,-0.9781,165.02,165.05,166.45,878310,878298,-1.5
