symbol,price,percentchange,low,high,relvolume,open,watchers,hourchange,sentiment
EA,126.15,0.7266,124.85,126.27,0.7325,125.24,20707,1,7.94
AMZN,101.1,-2.7417,100.7506,103.91,0.5813,103.91,587879,1,-0.76
AAPL,163.76,-1.129,161.8,165.05,0.6702,164.74,877261,-3,-9.1
AMD,92.56,-3.4526,91.36,94.5,0.7872,94.35,456583,3,-1.27
NOC,470.91,0.6003,467.22,473.6,0.5536,467.22,8036,0,0.0
CVNA,8.5,-10.5263,8.39,9.38,0.3189,9.38,23329,0,-2.49
NVDA,268.81,-2.0836,263.95,269.98,0.9568,268.29,421067,4,-3.52
META,211.48,-1.5089,209.95,215.19,0.5446,214.15,512558,4,-4.65
AMC,4.05,3.5806,3.94,4.09,0.7224,4.07,412901,2,-0.22
MSFT,284.34,-0.9889,282.95,287.145,0.5843,285.85,442957,5,-3.07
JPM,127.61,0.1491,126.46,128.15,0.609,126.8,82526,0,-1.72
TSLA,185.52,-3.666,183.76,190.68,0.7518,190.515,890629,5,-1.55
SONY,89.65,-1.4943,89.5312,90.02,0.7198,89.9,2087,0,0.0
IBM,132.14,0.4103,131.37,132.61,0.4187,131.37,51362,-3,0.0
SOFI,5.74,-2.5467,5.5801,5.87,0.786,5.87,91880,2,0.2
GOOGL,104.47,-0.2387,103.66,106.1,0.6109,105.78,160107,0,0.53
INTC,32.83,-0.8157,32.335,32.985,0.7132,32.795,131192,1,-1.67
ENPH,193.67,-4.3794,187.73,201.62,0.8384,200.0,37387,2,-0.02
