low,high,percentchange,symbol,price,open,relvolume,watchers,hourchange,sentiment
124.19,126.1508,1.8191,IBM,125.94,124.31,0.7973,51327,2,1.06
251.3,260.24,0.6803,NVDA,259.0,256.15,0.819,419428,4,1.0
5.19,5.54,-4.3956,SOFI,5.22,5.47,0.8466,91578,-4,1.06
113.01,114.28,0.15,EA,113.52,113.01,0.5323,20730,0,33.33
193.64,199.36,1.1247,META,197.81,198.48,0.723,511733,-2,0.68
6.87,7.82,-7.5817,CVNA,7.07,7.43,0.3366,23279,0,-1.45
269.85,277.48,-2.5767,MSFT,272.23,276.98,1.2161,441940,4,0.1
92.9,96.94,-1.0527,AMD,96.81,96.3,1.5349,455937,-2,-0.78
95.7,98.48,-1.2532,AMZN,97.71,98.41,0.7742,586757,1,0.97
126.01,129.47,1.0571,JPM,127.14,126.99,1.609,82211,5,0.42
445.005,452.31,1.2759,NOC,449.26,445.27,0.4475,8003,1,9.09
4.14,4.38,2.1531,AMC,4.27,4.25,0.4546,411725,-8,-0.53
176.35,186.44,1.7321,TSLA,183.25,178.08,0.6925,888857,-1,-0.29
87.33,89.16,2.196,SONY,88.42,87.52,1.1668,2079,0,0.0
99.88,101.75,-0.3936,GOOGL,101.22,100.12,0.7301,159582,0,-0.42
154.15,157.81,1.5484,AAPL,157.4,155.07,0.8489,876025,7,-0.31
185.2,196.88,4.8301,ENPH,192.51,189.59,1.1646,37209,3,1.18
28.63,29.9,-2.1805,INTC,29.16,29.8,0.7742,130821,0,-0.56
