low,open,relvolume,high,price,symbol,percentchange,watchers,hourchange,sentiment
89.75,89.77,1.4706,90.92,90.65,SONY,1.5004,2084,0,0.0
271.05,271.4,0.7758,278.34,277.77,NVDA,1.4388,420629,2,4.42
205.81,206.02,0.544,212.12,210.28,ENPH,2.4407,37334,-1,0.66
129.42,129.47,0.5809,131.23,131.09,IBM,1.4471,51344,0,2.22
459.45,462.98,0.4159,463.32,461.72,NOC,0.1605,8029,0,0.0
4.87,4.91,0.4763,5.055,5.01,AMC,0.8048,412474,2,0.13
5.67,5.75,1.0566,6.17,6.07,SOFI,6.1189,91786,5,1.92
206.77,207.24,0.653,212.17,211.94,META,1.9727,512334,1,4.07
31.74,31.8,1.0575,32.8998,32.67,INTC,1.8074,131091,0,0.77
95.27,96.34,0.8317,98.36,98.01,AMD,0.1328,456389,1,3.61
162.13,162.44,0.7363,165.0,164.9,AAPL,1.5644,876840,1,4.9
197.23,197.53,0.9318,207.79,207.46,TSLA,6.2372,889885,3,8.25
8.77,8.9,0.475,9.79,9.79,CVNA,10.872,23371,0,6.68
283.03,283.73,0.7248,288.81,288.3,MSFT,1.4962,442664,2,2.16
118.985,119.38,0.6957,120.53,120.45,EA,1.1335,20709,0,0.0
128.8514,129.66,0.7219,130.34,130.31,JPM,1.2117,82481,0,-2.92
101.05,101.3,0.6778,103.89,103.73,GOOGL,2.8149,159929,4,2.16
101.95,102.16,0.6381,103.42,103.29,AMZN,1.2647,587497,0,3.51
