high,relvolume,low,open,price,symbol,percentchange,watchers,hourchange,sentiment
4.54,0.283,4.38,4.4,4.47,AMC,0.0,411926,7,-0.09
5.83,0.4643,5.645,5.675,5.74,SOFI,-0.692,91704,0,-0.16
207.574,0.7884,203.55,205.18,206.01,META,0.8469,512047,1,3.06
29.81,1.0801,28.93,29.04,29.36,INTC,1.1368,130869,1,-1.05
98.295,0.6949,96.4,98.065,98.13,AMZN,-0.5876,587044,2,-1.46
105.49,0.6651,103.84,104.99,105.44,GOOGL,-0.1515,159719,3,-3.55
192.36,0.6231,187.15,191.65,190.41,TSLA,-0.9416,889279,0,-1.21
125.68,1.496,123.11,125.63,124.91,JPM,-1.5216,82371,3,-0.03
271.67,0.8619,263.55,270.31,267.79,NVDA,-1.5152,420192,-4,-1.2
88.3,1.3895,86.96,88.3,87.53,SONY,-0.8383,2082,0,0.0
280.63,0.7429,275.3,277.24,280.57,MSFT,1.048,442247,2,0.18
203.55,0.8771,192.46,202.35,195.99,ENPH,-4.2363,37276,1,4.84
456.2,0.7919,443.105,445.08,455.25,NOC,2.4323,8013,0,-10.23
160.34,0.6983,157.85,158.86,160.25,AAPL,0.8306,876396,5,-1.32
8.47,0.2716,7.95,8.18,8.19,CVNA,-1.9162,23420,1,-0.69
99.52,1.0179,96.74,99.18,97.95,AMD,-2.3235,456182,0,-2.72
125.4,0.6283,122.88,123.36,125.29,IBM,1.5563,51327,2,-2.69
119.205,0.8715,117.61,118.08,119.03,EA,2.5767,20720,0,0.0
