low,percentchange,symbol,open,high,relvolume,price,watchers,hourchange,sentiment
165.65,0.7505,AAPL,166.1,167.41,0.6295,166.47,878090,9,3.5
104.07,-1.3872,GOOGL,106.49,106.515,0.5757,104.5,160551,0,-2.52
183.5887,-1.4596,TSLA,187.15,187.69,0.5393,184.31,891795,4,-0.7
8.76,-2.8698,CVNA,9.22,9.285,0.2683,8.8,23300,0,-3.54
216.215,-0.4432,META,219.91,220.44,0.3488,217.89,512946,0,0.79
139.03,1.1228,JPM,140.27,141.78,0.8356,141.4,82988,-1,-0.29
127.82,0.7495,EA,128.81,129.38,0.5166,129.04,20704,0,0.0
287.02,-0.1489,MSFT,291.57,291.6,0.5165,288.37,443622,4,3.1
222.23,1.3116,ENPH,225.43,231.31,0.8254,227.87,37486,0,-1.82
475.74,0.9857,NOC,475.74,483.4,0.6483,479.47,8043,0,-8.33
101.52,-0.4283,AMZN,103.95,104.2,0.555,102.3,588653,3,1.28
127.35,-0.0313,IBM,128.14,128.68,0.4769,127.78,51381,0,-1.19
5.895,0.3356,SOFI,6.0,6.02,0.4567,5.98,91917,-2,-0.76
90.99,0.1755,SONY,91.57,91.86,0.8545,91.31,2086,0,0.0
89.33,-0.1001,AMD,91.61,92.16,0.6994,89.78,456871,1,2.47
31.785,-0.9645,INTC,32.43,32.46,0.4755,31.83,131276,4,0.85
4.98,-2.8846,AMC,5.23,5.212,0.3403,5.05,413184,-4,-2.26
273.57,2.4628,NVDA,275.335,281.0802,1.1798,276.67,421850,3,-0.06
