open,percentchange,symbol,relvolume,high,low,price,watchers,hourchange,sentiment
113.01,0.15,EA,0.5323,114.28,113.01,113.52,20731,0,33.33
7.43,-7.5817,CVNA,0.3366,7.81,6.87,7.07,23279,0,-2.03
96.3,-1.0527,AMD,1.5349,96.94,92.9,96.81,455939,2,-0.7
98.41,-1.2532,AMZN,0.7742,98.48,95.7,97.71,586770,6,0.69
276.98,-2.5767,MSFT,1.2161,277.48,269.85,272.23,441943,2,0.02
126.99,1.0571,JPM,1.609,129.46,126.01,127.14,82210,5,0.55
4.25,2.1531,AMC,0.4546,4.38,4.14,4.27,411730,4,-0.45
178.08,1.7321,TSLA,0.6925,186.44,176.35,183.25,888860,2,-0.26
445.27,1.2759,NOC,0.4475,452.2,445.36,449.26,8003,0,8.33
100.12,-0.3936,GOOGL,0.7301,101.75,99.88,101.22,159585,3,-0.62
87.52,2.196,SONY,1.1668,89.16,87.33,88.42,2079,0,0.0
189.59,4.8301,ENPH,1.1646,196.88,185.2,192.51,37213,4,1.7
155.07,1.5484,AAPL,0.8489,157.81,154.15,157.4,876035,8,0.22
29.8,-2.1805,INTC,0.7742,29.9,28.63,29.16,130826,2,-1.51
124.31,1.8191,IBM,0.7973,126.1508,124.19,125.94,51327,0,1.06
256.15,0.6803,NVDA,0.819,260.24,251.3,259.0,419434,4,0.7
198.48,1.1247,META,0.723,199.36,193.64,197.81,511744,8,1.5
5.47,-4.3956,SOFI,0.8466,5.54,5.19,5.22,91592,3,1.11
