open,price,high,percentchange,symbol,low,relvolume,watchers,hourchange,sentiment
470.98,476.54,478.17,1.3074,NOC,470.98,0.4565,8041,0,-16.67
91.32,95.48,95.79,3.2551,AMD,91.02,0.7903,456699,3,9.14
5.69,5.91,5.92,2.7826,SOFI,5.66,0.5343,91909,2,1.07
268.23,275.79,276.2099,2.0047,NVDA,266.69,0.7128,421311,-5,2.19
161.42,162.03,162.03,-1.5972,AAPL,160.08,0.6369,877529,0,-4.02
126.54,127.89,128.23,0.3295,JPM,126.22,0.5624,82595,4,-2.49
87.76,88.51,88.52,0.3856,SONY,87.73,0.4657,2088,0,0.0
106.98,106.44,107.59,-1.8262,GOOGL,105.12,0.6059,160301,2,0.22
214.71,214.75,215.66,-0.6247,META,210.66,0.4571,512691,1,-1.4
32.6,32.52,32.76,-0.8839,INTC,32.2,0.4854,131212,1,-1.27
9.0,9.31,9.35,3.3296,CVNA,8.62,0.3262,23315,0,3.53
129.83,131.03,131.08,0.4061,IBM,129.24,0.3796,51364,0,-1.29
289.208,289.39,289.6,-0.7579,MSFT,284.72,0.6369,443170,6,-1.93
179.94,184.51,185.0994,-0.2972,TSLA,176.11,0.8207,891045,2,-0.17
124.79,125.62,125.8,0.3675,EA,123.74,0.3892,20703,0,4.44
100.96,102.17,102.2,0.1078,AMZN,99.57,0.5167,588100,2,-0.86
189.09,195.8,195.9,2.5131,ENPH,188.51,0.4136,37407,0,-1.76
4.77,5.24,5.37,6.9388,AMC,4.74,1.2692,413136,-2,0.88
