symbol,percentchange,price,open,high,low,relvolume,watchers,hourchange,sentiment
EA,0.0478,125.68,125.13,126.25,124.74,0.4521,20704,0,-10.0
AAPL,-0.7591,160.8,162.35,162.36,160.51,0.6091,877606,-1,-3.47
TSLA,1.2357,186.79,186.69,189.19,185.65,0.6665,891155,8,0.19
AMZN,-2.2022,99.92,100.8,100.99,99.01,0.8239,588190,3,-4.46
JPM,0.4926,128.52,128.3,128.94,127.54,0.6398,82602,0,0.89
CVNA,4.8335,9.76,9.79,10.85,9.6,0.7987,23338,1,12.12
NOC,-1.7354,468.27,476.12,476.12,467.525,0.5013,8038,0,13.33
MSFT,-2.2668,282.83,285.75,285.87,281.64,0.7591,443238,2,-2.79
AMC,3.626,5.43,5.45,5.63,5.25,0.9069,413177,4,3.54
ENPH,0.5516,196.88,195.9,199.04,193.14,0.3554,37408,1,-0.55
AMD,-1.5186,94.03,96.06,96.065,92.7,0.7947,456726,2,2.96
GOOGL,-1.0241,105.35,106.55,106.73,104.68,0.583,160325,-1,-0.71
INTC,-0.5228,32.35,32.66,33.11,32.32,0.4705,131227,2,-10.69
IBM,-0.4655,130.42,130.58,131.105,130.18,0.4743,51367,0,0.0
SONY,0.4519,88.91,89.24,89.49,88.83,0.5067,2089,0,0.0
SOFI,1.0152,5.97,5.91,6.02,5.86,0.662,91921,1,3.28
NVDA,-1.4866,271.69,277.235,277.89,271.26,0.5674,421378,0,1.68
META,-0.4191,213.85,215.48,216.02,213.43,0.4677,512737,2,-2.5
