price,relvolume,high,percentchange,symbol,open,low,watchers,hourchange,sentiment
32.02,0.5877,32.89,-1.0201,INTC,32.77,31.96,131234,0,-5.31
5.82,0.9555,6.05,-2.5126,SOFI,6.06,5.67,91919,0,-0.21
128.54,0.6074,130.87,-1.4415,IBM,130.4,128.18,51367,0,-2.42
472.77,0.4255,474.7299,0.961,NOC,467.43,466.03,8038,0,0.0
92.33,0.8136,94.995,-1.8079,AMD,94.97,91.74,456746,3,6.03
126.13,0.4105,127.1812,0.3581,EA,126.28,125.82,20702,1,-16.67
283.49,0.7301,287.01,0.2334,MSFT,284.79,281.96,443294,2,-1.73
9.24,0.5844,10.32,-5.3279,CVNA,9.79,8.79,23330,3,7.13
160.1,0.6508,162.06,-0.4353,AAPL,161.22,159.78,877677,-3,0.8
5.34,0.827,5.74,-1.6575,AMC,5.62,5.34,413211,-8,0.52
89.44,0.4882,90.4,0.5961,SONY,90.0,89.29,2089,0,0.0
128.5,0.66,130.43,-0.0156,JPM,129.18,128.0603,82616,-2,0.59
264.95,0.8408,274.63,-2.4808,NVDA,273.7,264.4786,421429,6,1.72
214.0,0.5478,216.84,0.0701,META,214.835,212.584,512757,0,-1.25
180.54,0.8639,191.58,-3.346,TSLA,190.74,180.31,891210,0,-0.13
196.03,0.4414,201.26,-0.4317,ENPH,199.9,195.81,37409,3,1.68
104.64,0.5099,106.75,-0.6739,GOOGL,106.58,104.34,160339,0,-0.19
97.83,0.7773,100.51,-2.0917,AMZN,100.4,97.705,588254,5,-1.25
