open,percentchange,price,relvolume,symbol,low,high,watchers,hourchange,sentiment
139.74,-0.1917,140.54,0.6957,JPM,138.78,141.11,82974,0,-2.83
129.05,0.2407,129.11,0.504,EA,128.695,130.12,20702,-1,10.0
285.01,-0.1223,285.76,0.5756,MSFT,283.0608,286.26,443718,4,-1.27
126.0,-0.4986,125.73,1.0535,IBM,125.27,126.69,51487,-3,0.74
269.52,0.0553,271.19,0.644,NVDA,267.2301,271.83,422037,-4,1.72
210.21,-0.0845,212.89,0.5292,META,209.76,213.41,513002,2,-0.15
89.8,-1.8644,88.43,0.6306,AMD,88.055,89.72,456942,-1,2.24
106.1,3.0344,106.96,1.2806,AMZN,105.08,108.15,588924,4,1.05
165.05,-0.9781,165.02,0.7882,AAPL,164.5,166.45,15,0,-1.49
164.8,1.2823,165.08,0.7409,TSLA,161.33,166.0,892732,8,0.93
91.87,0.7332,92.05,0.7484,SONY,91.61,92.38,2089,0,0.0
7.97,1.75,8.14,0.2397,CVNA,7.735,8.29,23257,0,-3.02
223.75,-0.5249,223.61,0.5057,ENPH,219.9,226.77,37487,1,2.78
105.47,0.114,105.41,0.5543,GOOGL,104.79,106.0,160605,3,0.21
5.9,0.3378,5.94,0.4494,SOFI,5.85,5.99,91960,0,-0.12
475.72,-0.4618,471.99,0.6011,NOC,468.84,474.875,8044,0,1.43
4.94,0.4024,4.99,0.3518,AMC,4.91,5.07,413184,-1,-0.18
30.84,-1.8146,30.3,0.5032,INTC,30.225,30.79,131284,0,-0.42
