percentchange,open,price,symbol,high,low,relvolume,watchers,hourchange,sentiment
-1.4415,130.4,128.54,IBM,130.87,128.18,0.6074,51367,0,-2.42
0.961,467.43,472.77,NOC,474.7299,466.03,0.4255,8038,0,0.0
-1.8079,94.97,92.33,AMD,94.995,91.74,0.8136,456745,-1,6.35
0.3581,126.28,126.13,EA,127.1812,125.82,0.4105,20702,0,-16.67
0.2334,284.79,283.49,MSFT,287.01,281.96,0.7301,443294,0,-1.47
-5.3279,9.79,9.24,CVNA,10.32,8.79,0.5844,23330,0,6.59
-1.6575,5.62,5.34,AMC,5.74,5.34,0.827,413213,2,0.38
-0.4353,161.22,160.1,AAPL,162.06,159.78,0.6508,877684,7,0.82
0.5961,90.0,89.44,SONY,90.4,89.29,0.4882,2089,0,0.0
-0.0156,129.18,128.5,JPM,130.43,128.0603,0.66,82616,0,-0.52
0.0701,214.835,214.0,META,216.84,212.584,0.5478,512758,1,-1.25
-2.4808,273.7,264.95,NVDA,274.63,264.4786,0.8408,421429,0,1.09
-3.346,190.74,180.54,TSLA,191.58,180.31,0.8639,891217,7,-0.13
-0.4317,199.9,196.03,ENPH,201.26,195.81,0.4414,37409,0,1.68
-0.6739,106.58,104.64,GOOGL,106.75,104.34,0.5099,160343,4,-0.19
-2.0917,100.4,97.83,AMZN,100.51,97.705,0.7773,588258,4,-0.77
-1.0201,32.77,32.02,INTC,32.89,31.96,0.5877,131234,0,-6.8
-2.5126,6.06,5.82,SOFI,6.05,5.67,0.9555,91918,-1,-0.21
