price,relvolume,low,symbol,high,open,percentchange,watchers,hourchange,sentiment
195.61,1.116,195.4304,META,201.9,200.56,-4.5479,511609,2,-1.01
5.46,0.6642,5.33,SOFI,5.54,5.47,0.1835,91544,-3,5.25
4.18,0.6185,4.1078,AMC,4.34,4.3,-4.7836,411733,3,-0.02
113.35,0.7406,112.98,EA,114.0,113.65,-0.1585,20735,0,-25.0
443.6,0.8804,441.305,NOC,450.16,449.81,-1.4551,7997,0,3.41
98.95,0.8764,97.455,AMZN,100.65,99.79,-1.0896,586549,6,2.58
101.62,1.2376,100.1,GOOGL,102.835,100.26,1.2959,159516,2,1.84
29.81,1.0943,29.44,INTC,30.56,29.92,-1.226,130794,3,-4.17
86.52,1.0052,86.18,SONY,87.47,87.25,0.1505,2077,0,33.33
155.0,0.9896,154.28,AAPL,156.74,156.08,-0.5454,875804,5,4.54
183.64,1.684,181.55,ENPH,200.7,200.7,-8.6822,37113,4,-3.33
257.25,1.3828,256.68,NVDA,263.99,259.82,0.7204,419188,9,2.88
7.65,0.4207,7.02,CVNA,7.9,7.21,3.2389,23308,0,0.57
123.69,2.0994,122.93,IBM,124.52,124.08,-0.8099,51323,1,2.51
180.13,0.6722,177.33,TSLA,186.21,184.515,-2.1724,888626,5,1.73
97.84,1.4973,95.94,AMD,98.75,96.66,1.2836,455821,1,-0.39
279.43,1.7577,276.3201,MSFT,283.33,278.26,1.1694,441744,8,-1.31
125.81,2.2173,125.46,JPM,128.45,128.38,-3.7782,82035,3,4.23
