high,price,open,low,relvolume,percentchange,symbol,watchers,hourchange,sentiment
32.89,32.02,32.77,31.96,0.5877,-1.0201,INTC,131234,-2,-3.82
6.05,5.82,6.06,5.67,0.9555,-2.5126,SOFI,91919,-3,0.41
130.8857,128.54,130.4,128.17,0.6074,-1.4415,IBM,51367,0,-2.02
127.1812,126.13,126.28,125.82,0.4105,0.3581,EA,20701,0,-29.17
474.7299,472.77,467.43,466.03,0.4255,0.961,NOC,8038,0,0.0
94.995,92.33,94.97,91.74,0.8136,-1.8079,AMD,456743,0,6.05
287.01,283.49,284.79,281.96,0.7301,0.2334,MSFT,443292,-3,-1.14
10.32,9.24,10.13,8.79,0.5844,-5.3279,CVNA,23327,-3,7.13
162.06,160.1,161.22,159.78,0.6508,-0.4353,AAPL,877680,4,1.44
5.74,5.34,5.62,5.34,0.827,-1.6575,AMC,413219,-2,0.98
90.4,89.44,90.0,89.29,0.4882,0.5961,SONY,2089,0,0.0
274.63,264.95,273.7,264.4786,0.8408,-2.4808,NVDA,421423,5,3.47
216.84,214.0,214.835,212.584,0.5478,0.0701,META,512757,3,-1.12
130.43,128.5,129.18,128.0603,0.66,-0.0156,JPM,82618,0,1.61
191.58,180.54,190.74,180.31,0.8639,-3.346,TSLA,891210,-4,-0.11
100.51,97.83,100.4,97.705,0.7773,-2.0917,AMZN,588249,4,-1.86
201.26,196.03,199.9,195.81,0.4414,-0.4317,ENPH,37406,0,1.77
106.75,104.64,106.58,104.34,0.5099,-0.6739,GOOGL,160339,-6,-0.07
