open,high,price,symbol,percentchange,relvolume,low,watchers,hourchange,sentiment
126.58,128.72,128.28,EA,1.7046,0.4634,126.58,20702,-1,6.67
283.59,289.9,289.84,MSFT,2.2399,0.602,283.17,443355,1,1.18
128.46,129.035,128.99,JPM,0.3813,0.7779,126.84,82731,7,5.81
472.0,476.065,474.16,NOC,0.294,0.3826,469.78,8039,1,-16.67
9.27,9.76,9.37,CVNA,1.4069,0.3162,9.201,23339,1,1.75
5.91,5.98,5.86,SOFI,0.6873,0.5437,5.825,91912,0,2.23
31.82,32.4252,32.13,INTC,0.3435,0.474,31.65,131232,-1,5.8
105.84,107.49,107.43,GOOGL,2.6663,0.5101,105.9,160362,4,-1.99
90.1,90.83,90.49,SONY,1.174,0.7734,90.0,2088,0,0.0
182.955,186.5,185.9,TSLA,2.9689,0.6485,180.94,891319,3,1.13
215.73,221.15,220.35,META,2.9673,0.6771,215.82,512800,3,2.1
92.79,93.16,92.09,AMD,-0.2599,0.6105,91.83,456763,0,0.79
200.01,211.55,209.69,ENPH,6.9683,0.9909,198.52,37425,2,-4.82
267.34,268.869,264.63,NVDA,-0.1208,0.6485,263.29,421515,0,-2.67
5.48,5.66,5.46,AMC,2.2472,0.5092,5.39,413222,3,-3.08
161.63,165.8,165.56,AAPL,3.4104,0.8567,161.44,877758,6,4.18
128.01,128.39,127.9,IBM,-0.4979,0.8901,126.01,51366,1,6.94
98.95,102.56,102.4,AMZN,4.6714,0.9312,98.73,588382,4,4.54
