symbol,high,low,price,open,percentchange,relvolume,watchers,hourchange,sentiment
INTC,32.235,31.69,31.89,32.0,-0.747,0.4201,131240,1,-2.29
SOFI,6.03,5.77,5.92,5.99,1.0239,0.6398,91899,-4,-0.49
AMC,5.75,4.9,5.12,5.74,-6.2271,0.9005,413214,-3,-0.31
AMD,92.97,90.5,91.75,91.82,-0.3692,0.5911,456768,3,-0.01
MSFT,288.48,283.69,286.14,287.0,-1.2766,0.5743,443396,2,-0.68
NOC,473.09,468.765,472.57,470.55,-0.3353,0.3372,8041,0,13.33
NVDA,268.83,262.2,267.58,265.04,1.1148,0.7461,421590,4,-1.09
CVNA,9.798,8.68,8.97,9.47,-4.2689,0.3345,23328,-2,-1.25
META,222.11,217.56,221.49,217.88,0.5174,0.6378,512850,14,0.74
IBM,129.84,127.31,128.14,128.46,0.1876,0.6373,51370,0,-6.94
AMZN,103.2013,101.11,102.51,102.07,0.1074,0.7199,588468,1,0.4
JPM,139.12,134.9001,138.73,135.15,7.551,3.0765,82930,8,6.88
AAPL,166.32,163.83,165.21,164.59,-0.2114,0.6406,877852,4,1.29
GOOGL,108.935,106.88,108.87,106.89,1.3404,0.566,160404,1,-2.01
EA,128.53,127.45,127.87,127.98,-0.3196,0.4028,20705,0,10.0
SONY,91.46,90.412,90.86,90.85,0.4089,0.8867,2088,0,0.0
ENPH,214.57,204.67,208.9,209.77,-0.3767,0.6939,37423,0,-3.47
TSLA,186.28,182.01,185.0,183.95,-0.4841,0.5598,891427,4,0.27
