open,price,low,symbol,high,percentchange,relvolume,watchers,hourchange,sentiment
140.27,141.4,139.03,JPM,141.775,1.1228,0.8356,82989,-2,-0.05
291.57,288.37,287.02,MSFT,291.6,-0.1489,0.5165,443618,6,3.46
128.81,129.04,127.82,EA,129.38,0.7495,0.5166,20704,0,0.0
475.74,479.47,475.74,NOC,483.4,0.9857,0.6483,8043,0,-8.33
103.95,102.3,101.52,AMZN,104.2,-0.4283,0.555,588650,1,1.26
225.43,227.87,222.23,ENPH,231.31,1.3116,0.8254,37486,-1,-1.91
128.14,127.78,127.35,IBM,128.68,-0.0313,0.4769,51381,0,-0.57
6.0,5.98,5.895,SOFI,6.02,0.3356,0.4567,91919,5,-1.03
91.57,91.31,90.99,SONY,91.86,0.1755,0.8545,2086,0,0.0
275.335,276.67,273.57,NVDA,281.0802,2.4628,1.1798,421847,0,0.04
91.61,89.78,89.33,AMD,92.16,-0.1001,0.6994,456870,1,2.46
5.23,5.05,4.98,AMC,5.23,-2.8846,0.3403,413188,2,-2.3
32.43,31.83,31.785,INTC,32.46,-0.9645,0.4755,131272,0,0.5
166.1,166.47,165.65,AAPL,167.41,0.7505,0.6295,878081,-2,3.59
106.49,104.5,104.07,GOOGL,106.515,-1.3872,0.5757,160551,3,-2.13
9.22,8.8,8.76,CVNA,9.285,-2.8698,0.2683,23300,-2,-3.28
187.15,184.31,183.5887,TSLA,187.69,-1.4596,0.5393,891791,13,-0.64
219.91,217.89,216.215,META,220.44,-0.4432,0.3488,512946,7,0.39
