percentchange,low,symbol,price,high,open,relvolume,watchers,hourchange,sentiment
0.0851,457.59,NOC,458.64,461.5,458.31,0.2415,8016,0,-2.78
-0.8267,272.05,MSFT,274.0953,276.13,275.79,0.5058,442486,4,-2.62
-1.0855,258.5,NVDA,262.43,265.13,264.47,0.6125,420423,3,-0.39
-1.4198,197.9,META,199.96,200.43,200.15,0.469,512220,-3,-3.47
-1.6085,190.624,ENPH,192.68,196.515,196.0,0.3114,37298,-1,-3.4
-1.7726,185.43,TSLA,188.41,192.35,192.0,0.4948,889585,16,-3.02
-0.8177,155.98,AAPL,156.9857,158.1277,157.97,0.4838,876656,3,-2.51
-0.1543,128.8,IBM,129.1105,129.66,129.18,0.3821,51344,0,3.35
-0.0311,127.75,JPM,128.45,129.3417,128.71,0.6608,82450,-1,-1.89
-0.5226,117.38,EA,118.02,118.4425,118.085,0.4127,20715,0,-1.01
-1.5697,99.7401,GOOGL,100.8517,102.4,102.44,0.6347,159817,0,-4.76
-1.2138,96.29,AMZN,96.85,98.44,98.11,0.4356,587260,7,-1.74
-2.7938,92.87,AMD,93.9109,96.93,96.77,0.8275,456309,2,-1.22
-0.8945,85.745,SONY,85.865,86.6682,86.11,0.6094,2081,0,0.0
-0.3256,28.63,INTC,29.085,29.23,29.075,0.531,130891,0,-0.81
-3.0446,7.22,CVNA,7.388,7.72,7.57,0.1954,23387,-7,-0.32
-3.3906,5.51,SOFI,5.5647,5.79,5.74,0.5061,91755,0,0.53
9.2308,4.46,AMC,4.97,5.5,4.51,2.2559,412081,107,-0.37
