relvolume,symbol,percentchange,low,price,high,open,watchers,hourchange,sentiment
0.5813,AMZN,-2.7417,100.7506,101.1,103.91,103.91,587872,4,-0.95
0.7325,EA,0.7266,124.85,126.15,126.27,125.24,20706,0,10.71
0.6702,AAPL,-1.129,161.8,163.76,165.05,164.74,877257,4,-9.16
0.3189,CVNA,-10.5263,8.39,8.5,9.38,9.38,23331,1,-1.66
0.7872,AMD,-3.4526,91.36,92.56,94.5,94.35,456579,0,-1.55
0.5536,NOC,0.6003,467.22,470.91,473.6,467.22,8036,0,0.0
0.609,JPM,0.1491,126.46,127.61,128.15,126.8,82525,0,0.35
0.7224,AMC,3.5806,3.94,4.05,4.09,4.07,412887,4,-0.73
0.5843,MSFT,-0.9889,282.95,284.34,287.145,285.85,442945,-1,-4.56
0.5446,META,-1.5089,209.95,211.48,215.19,214.15,512545,0,-4.3
0.9568,NVDA,-2.0836,263.95,268.81,269.98,268.29,421057,3,-3.53
0.7518,TSLA,-3.666,183.76,185.52,190.68,190.515,890617,8,-1.36
0.7198,SONY,-1.4943,89.5312,89.65,90.02,89.9,2087,0,0.0
0.4187,IBM,0.4103,131.37,132.14,132.61,131.37,51366,0,0.0
0.786,SOFI,-2.5467,5.5801,5.74,5.87,5.87,91872,4,0.68
0.6109,GOOGL,-0.2387,103.66,104.47,106.1,105.78,160103,0,-0.18
0.7132,INTC,-0.8157,32.335,32.83,32.985,32.795,131190,0,-1.83
0.8384,ENPH,-4.3794,187.73,193.67,201.62,200.0,37381,1,0.45
