percentchange,symbol,high,price,relvolume,low,open,watchers,hourchange,sentiment
-0.9912,NOC,474.875,469.48,0.2715,469.36,475.72,8044,0,-4.62
-0.1608,MSFT,286.26,285.65,0.4844,283.0608,285.01,443714,-4,0.44
-0.3763,NVDA,271.44,270.02,0.5541,267.2301,269.52,422043,-1,1.57
0.2224,ENPH,226.77,225.29,0.3785,219.9,223.75,37483,-2,3.33
-0.0704,META,213.41,212.92,0.4527,209.76,210.21,512999,-9,-1.34
1.275,TSLA,166.0,165.0682,0.6646,161.33,164.8,892714,3,-0.69
-0.9601,AAPL,166.45,165.05,0.6446,164.5,165.05,14,-2,-2.48
0.0071,JPM,140.825,140.82,0.5239,138.78,139.74,82978,1,-4.38
0.1182,EA,130.12,128.9522,0.3338,128.91,129.05,20703,0,0.0
-0.645,IBM,126.69,125.545,0.8737,125.27,126.0,51486,1,-0.13
3.6316,AMZN,108.15,107.58,1.0721,105.08,106.1,588920,9,-0.56
-0.1235,GOOGL,106.0,105.16,0.4348,104.79,105.47,160601,1,0.1
0.8317,SONY,92.38,92.14,0.5886,91.61,91.87,2089,0,0.0
-1.5424,AMD,89.72,88.7201,0.5173,88.43,89.8,456940,0,0.73
-1.6526,INTC,30.79,30.35,0.3662,30.225,30.84,131291,0,-1.05
1.9875,CVNA,8.29,8.159,0.1928,7.735,7.97,23260,-10,-2.84
0.5912,SOFI,5.99,5.955,0.3564,5.85,5.9,91959,-6,-0.52
0.1006,AMC,5.07,4.975,0.2833,4.91,4.94,413185,-5,-0.85
