low,percentchange,high,open,price,symbol,relvolume,watchers,hourchange,sentiment
89.75,1.5004,90.92,89.77,90.65,SONY,1.4706,2084,0,0.0
271.05,1.4388,278.34,271.4,277.77,NVDA,0.7758,420629,2,4.42
205.81,2.4407,212.12,206.02,210.28,ENPH,0.544,37334,-1,0.66
129.42,1.4471,131.23,129.47,131.09,IBM,0.5809,51344,0,2.22
459.45,0.1605,463.32,462.98,461.72,NOC,0.4159,8029,0,0.0
4.87,0.8048,5.055,4.91,5.01,AMC,0.4763,412474,2,0.13
5.67,6.1189,6.17,5.75,6.07,SOFI,1.0566,91786,5,1.92
206.77,1.9727,212.17,207.24,211.94,META,0.653,512334,1,4.07
31.74,1.8074,32.8998,31.8,32.67,INTC,1.0575,131091,0,0.77
95.27,0.1328,98.36,96.34,98.01,AMD,0.8317,456389,1,3.61
162.13,1.5644,165.0,162.44,164.9,AAPL,0.7363,876840,1,4.9
197.23,6.2372,207.79,197.53,207.46,TSLA,0.9318,889885,3,8.25
8.77,10.872,9.79,8.9,9.79,CVNA,0.475,23371,0,6.68
283.03,1.4962,288.81,283.73,288.3,MSFT,0.7248,442664,2,2.16
118.985,1.1335,120.53,119.38,120.45,EA,0.6957,20709,0,0.0
128.8514,1.2117,130.34,129.66,130.31,JPM,0.7219,82481,0,-2.92
101.05,2.8149,103.89,101.3,103.73,GOOGL,0.6778,159929,4,2.16
101.95,1.2647,103.42,102.16,103.29,AMZN,0.6381,587497,0,3.51
