relvolume,low,high,price,percentchange,symbol,open,watchers,hourchange,sentiment
0.7301,281.96,287.01,283.49,0.2334,MSFT,284.79,443295,-1,-1.45
0.4105,125.82,127.1812,126.13,0.3581,EA,126.28,20703,0,-16.67
0.6508,159.78,162.06,160.1,-0.4353,AAPL,161.22,877691,3,0.66
0.8136,91.74,94.995,92.33,-1.8079,AMD,94.97,456745,0,5.79
0.827,5.34,5.74,5.34,-1.6575,AMC,5.62,413217,-1,-0.28
0.5844,8.79,10.32,9.24,-5.3279,CVNA,9.79,23330,1,6.51
0.4882,89.29,90.4,89.44,0.5961,SONY,90.0,2089,0,0.0
0.66,128.0603,130.43,128.5,-0.0156,JPM,129.18,82625,0,-2.34
0.8639,180.31,191.58,180.54,-3.346,TSLA,190.74,891244,9,-0.47
0.5478,212.584,216.84,214.0,0.0701,META,214.835,512770,1,-1.58
0.8408,264.4786,274.63,264.95,-2.4808,NVDA,273.7,421445,1,-0.42
0.7773,97.705,100.51,97.83,-2.0917,AMZN,100.4,588281,6,0.08
0.4414,195.81,201.26,196.03,-0.4317,ENPH,199.9,37410,0,2.33
0.5099,104.34,106.75,104.64,-0.6739,GOOGL,106.58,160350,4,0.6
0.5877,31.96,32.89,32.02,-1.0201,INTC,32.77,131233,0,-7.09
0.6074,128.18,130.87,128.54,-1.4415,IBM,130.4,51369,0,-3.07
0.4255,466.03,474.7299,472.77,0.961,NOC,467.43,8038,0,3.33
0.9555,5.67,6.05,5.82,-2.5126,SOFI,6.06,91916,0,-0.42
