open,high,relvolume,price,low,symbol,percentchange,watchers,hourchange,sentiment
475.72,474.875,0.2844,469.4,469.3091,NOC,-1.0081,8044,0,-4.62
285.01,286.26,0.4942,285.195,283.0608,MSFT,-0.3198,443714,-4,0.44
269.52,271.44,0.5656,269.46,267.2301,NVDA,-0.5829,422043,-1,1.57
223.75,226.77,0.391,225.025,219.9,ENPH,0.1045,37483,-2,3.33
210.21,213.41,0.461,212.45,209.76,META,-0.291,512999,-9,-1.34
164.8,166.0,0.6759,165.11,161.33,TSLA,1.3007,892714,3,-0.69
165.05,166.45,0.6574,164.85,164.5,AAPL,-1.0801,14,-2,-2.48
139.74,140.86,0.5348,140.84,138.78,JPM,0.0213,82978,1,-4.38
129.05,130.12,0.3493,128.95,128.83,EA,0.1165,20703,0,0.0
126.0,126.69,0.8893,125.46,125.27,IBM,-0.7123,51486,1,-0.13
106.1,108.15,1.1058,107.14,105.08,AMZN,3.2078,588920,9,-0.56
105.47,106.0,0.4455,105.08,104.79,GOOGL,-0.1994,160601,1,0.1
91.87,92.38,0.6126,92.115,91.61,SONY,0.8043,2089,0,0.0
89.8,89.72,0.5346,88.43,88.32,AMD,-1.8644,456940,0,0.73
30.84,30.79,0.3778,30.29,30.225,INTC,-1.8471,131291,0,-1.05
7.97,8.29,0.196,8.125,7.735,CVNA,1.5625,23260,-10,-2.84
5.9,5.99,0.3671,5.935,5.85,SOFI,0.2534,91959,-6,-0.52
4.94,5.07,0.2874,4.96,4.91,AMC,-0.2012,413185,-5,-0.85
