percentchange,relvolume,low,price,open,high,symbol,watchers,hourchange,sentiment
-0.3767,0.6939,204.67,208.9,209.77,214.57,ENPH,37428,2,-3.02
-0.3196,0.4028,127.45,127.87,127.98,128.53,EA,20705,0,0.0
0.4089,0.8867,90.412,90.86,90.85,91.46,SONY,2088,0,0.0
-0.4841,0.5598,182.01,185.0,183.95,186.28,TSLA,891431,-4,0.43
-0.747,0.4201,31.69,31.89,32.0,32.235,INTC,131242,1,-1.3
-6.2271,0.9005,4.9,5.12,5.74,5.75,AMC,413215,0,-0.68
1.0239,0.6398,5.77,5.92,5.99,6.03,SOFI,91903,3,-1.02
-0.3353,0.3372,468.765,472.57,470.55,473.09,NOC,8040,0,0.0
1.1148,0.7461,262.2,267.58,265.04,268.83,NVDA,421598,-4,-0.7
-1.2766,0.5743,283.69,286.14,287.0,288.48,MSFT,443406,3,-0.17
-4.2689,0.3345,8.68,8.97,9.47,9.798,CVNA,23324,-1,-2.42
-0.3692,0.5911,90.5,91.75,91.82,92.97,AMD,456773,4,0.49
0.1074,0.7199,101.11,102.51,102.07,103.2013,AMZN,588482,4,1.49
0.5174,0.6378,217.56,221.49,217.88,222.11,META,512857,3,1.17
0.1876,0.6373,127.31,128.14,128.46,129.84,IBM,51370,0,-6.18
1.3404,0.566,106.88,108.87,106.89,108.935,GOOGL,160403,1,-0.64
-0.2114,0.6406,163.83,165.21,164.59,166.32,AAPL,877861,2,1.43
7.551,3.0765,134.9001,138.73,135.15,139.12,JPM,82946,10,5.37
