low,price,high,symbol,percentchange,relvolume,open,watchers,hourchange,sentiment
471.57,477.6,478.12,NOC,1.5328,0.2897,470.98,8042,0,-8.33
284.72,288.37,289.208,MSFT,-1.1077,0.4841,289.208,443148,3,-1.03
266.69,274.72,275.9,NVDA,1.6089,0.573,268.23,421291,25,1.54
210.66,214.9387,215.08,META,-0.5374,0.3465,214.71,512686,-2,-0.66
188.51,193.5,194.84,ENPH,1.3089,0.3025,189.09,37403,0,-1.29
176.11,184.15,184.32,TSLA,-0.4917,0.6566,179.94,891020,0,-1.27
160.08,161.49,161.86,AAPL,-1.9252,0.4954,162.43,877497,0,-1.77
129.24,130.79,131.02,IBM,0.2222,0.2513,129.83,51367,0,-0.59
126.22,127.54,128.22,JPM,0.0549,0.4076,126.54,82583,0,-2.19
123.74,125.57,125.625,EA,0.3276,0.2342,124.79,20704,0,8.08
105.12,106.335,107.59,GOOGL,-1.9231,0.474,106.98,160281,1,-0.2
99.57,101.6874,101.8598,AMZN,-0.3651,0.3944,100.96,588069,2,-0.37
91.02,95.38,95.54,AMD,3.147,0.5992,91.32,456682,3,4.34
87.73,88.14,88.22,SONY,-0.034,0.254,87.76,2087,0,0.0
32.2,32.52,32.76,INTC,-0.8839,0.3472,32.6,131220,-1,0.79
8.63,9.135,9.35,CVNA,1.3873,0.2287,9.0,23323,3,-0.08
5.66,5.815,5.855,SOFI,1.1304,0.3827,5.69,91902,-3,0.53
4.74,5.2233,5.37,AMC,6.598,1.0328,4.77,413140,2,0.51
