price,symbol,open,high,low,percentchange,relvolume,watchers,hourchange,sentiment
95.87,AMD,97.038,97.27,95.21,-0.7146,0.6455,456542,0,-2.25
91.01,SONY,90.78,91.145,90.36,-0.3504,0.9783,2087,0,0.0
202.54,ENPH,202.89,203.2,198.65,-0.0296,0.4624,37369,0,0.6
5.89,SOFI,6.1,6.095,5.835,-2.3217,0.4678,91854,0,-0.77
33.1,INTC,32.85,33.84,32.85,0.6385,1.059,131182,0,2.87
128.42,JPM,130.5,130.57,127.41,-1.3368,0.702,82526,-1,6.54
103.95,AMZN,102.75,104.2,102.11,1.5038,0.6103,587793,10,2.13
165.63,AAPL,166.595,166.83,165.11,-0.325,0.5431,877173,0,2.33
287.18,MSFT,287.23,290.4499,285.67,-0.0174,0.6652,442888,-2,0.64
468.1,NOC,468.73,471.94,465.0,-0.2323,0.3915,8034,1,0.0
274.53,NVDA,279.66,280.0,273.08,-1.8309,0.686,420931,0,0.86
104.72,GOOGL,104.33,105.58,104.04,0.345,0.5141,160041,0,4.53
3.91,AMC,4.08,4.45,3.88,-23.4834,2.4701,412831,1,-5.68
125.24,EA,121.43,125.47,121.23,3.2056,1.0756,20706,-1,0.0
9.5,CVNA,9.44,9.72,8.93,2.2605,0.3434,23343,-2,-1.79
214.72,META,213.39,216.24,212.54,0.7744,0.5769,512519,6,5.13
131.6,IBM,131.99,132.13,130.9,-0.3483,0.5043,51358,2,0.0
192.58,TSLA,197.32,198.7446,190.32,-1.1244,0.711,890491,-5,0.35
