symbol,open,relvolume,percentchange,high,low,price,watchers,hourchange,sentiment
NOC,475.74,0.4239,1.2448,483.31,475.77,480.7,8041,0,-17.86
MSFT,291.57,0.4043,-0.277,291.6,287.02,288.0,443604,5,4.12
NVDA,275.335,0.9584,2.1369,281.0802,275.02,275.79,421835,26,-0.18
ENPH,225.43,0.6499,0.5246,231.31,222.23,226.1,37486,0,-0.4
META,219.91,0.2742,-0.3701,220.44,216.215,218.0501,512936,2,-0.81
TSLA,187.15,0.4372,-1.2311,187.69,183.5887,184.7373,891764,23,-0.76
AAPL,166.1,0.4805,0.702,167.41,165.65,166.3899,878076,3,3.3
JPM,140.27,0.6003,1.1514,141.725,139.03,141.44,82988,3,0.28
EA,128.81,0.2661,0.9174,129.38,127.82,129.255,20706,0,0.0
IBM,128.14,0.294,0.1174,128.68,127.35,127.97,51379,1,-1.59
GOOGL,106.49,0.4405,-1.1985,106.515,104.4,104.7,160551,3,-0.88
AMZN,103.95,0.3956,-0.6813,104.2,101.77,102.04,588639,-1,1.99
SONY,91.57,0.5151,-0.011,91.86,90.995,91.14,2086,0,0.0
AMD,91.61,0.5715,-0.089,92.16,89.63,89.79,456867,6,0.88
INTC,32.43,0.2925,-0.7032,32.46,31.8,31.914,131275,3,0.32
CVNA,9.22,0.2049,-2.2075,9.285,8.76,8.86,23305,-3,-4.05
SOFI,6.0,0.3382,-0.2517,6.02,5.895,5.945,91916,-1,-0.55
AMC,5.23,0.2675,-2.7673,5.212,4.98,5.0561,413185,0,-2.03
