high,relvolume,low,price,symbol,open,percentchange,watchers,hourchange,sentiment
452.4,0.3567,446.65,449.615,NOC,450.22,-0.0811,8008,2,-27.27
281.04,0.6791,272.63,280.25,MSFT,273.4,2.3632,442073,5,3.01
275.89,1.1773,262.37,275.175,NVDA,264.25,5.0326,419748,15,2.51
210.95,0.5257,204.61,210.68,ENPH,209.65,1.469,37243,2,-0.12
207.37,0.5825,201.84,206.63,META,202.5,2.2111,511866,9,2.95
200.66,0.6123,194.5901,199.27,TSLA,199.3,0.8553,889091,6,-0.23
162.14,0.6096,159.118,161.85,AAPL,159.3,1.6135,876224,3,3.58
130.655,0.7805,128.84,130.22,JPM,130.56,-0.2528,82272,3,1.25
127.215,0.331,125.68,126.7012,IBM,127.0,0.1037,51323,-1,13.04
115.1,0.575,113.83,114.96,EA,114.29,0.0174,20724,-2,25.0
106.55,0.762,103.67,106.34,GOOGL,104.27,1.3534,159658,4,-4.34
102.1,0.5193,99.35,101.83,AMZN,100.45,1.2126,586914,8,0.91
101.59,1.3833,95.645,101.34,AMD,95.65,5.6395,456033,13,-1.83
89.0699,0.6585,87.8087,89.06,SONY,88.91,-0.3469,2081,0,0.0
29.12,0.4657,28.31,29.06,INTC,28.48,2.1082,130860,1,-2.07
10.25,1.6223,8.46,9.0825,CVNA,10.15,14.5334,23487,7,9.5
6.03,1.2382,5.66,5.8298,SOFI,5.79,4.6643,91649,3,2.97
4.73,0.6941,4.47,4.6287,AMC,4.73,4.9592,411920,-3,4.45
