high,percentchange,low,symbol,open,price,relvolume,watchers,hourchange,sentiment
4.54,0.0,4.38,AMC,4.4,4.47,0.283,411919,-5,-0.07
5.83,-0.692,5.645,SOFI,5.675,5.74,0.4643,91704,-1,-0.59
29.81,1.1368,28.93,INTC,29.04,29.36,1.0801,130868,-3,0.39
98.295,-0.5876,96.4,AMZN,98.065,98.13,0.6949,587042,1,-1.1
207.574,0.8469,203.55,META,205.18,206.01,0.7884,512046,1,2.85
125.68,-1.5216,123.1163,JPM,125.63,124.91,1.496,82368,5,0.58
105.49,-0.1515,103.84,GOOGL,104.99,105.44,0.6651,159716,-1,-3.03
192.36,-0.9416,187.15,TSLA,191.65,190.41,0.6231,889279,1,-1.27
88.3,-0.8383,86.96,SONY,88.3,87.53,1.3895,2082,0,0.0
456.2,2.4323,443.105,NOC,445.08,455.25,0.7919,8013,0,-10.23
271.67,-1.5152,263.55,NVDA,270.31,267.79,0.8619,420196,7,-1.2
280.63,1.048,275.3,MSFT,277.24,280.57,0.7429,442245,2,0.18
160.34,0.8306,157.85,AAPL,158.86,160.25,0.6983,876391,4,-1.54
99.52,-2.3235,96.74,AMD,99.18,97.95,1.0179,456182,-1,-3.01
8.47,-1.9162,7.95,CVNA,8.18,8.19,0.2716,23419,-4,-0.9
203.55,-4.2363,192.46,ENPH,202.35,195.99,0.8771,37275,-2,4.44
125.4,1.5563,122.89,IBM,123.36,125.29,0.6283,51325,0,-3.23
119.205,2.5767,117.61,EA,118.08,119.03,0.8715,20720,0,7.14
