low,symbol,open,price,high,relvolume,percentchange,watchers,hourchange,sentiment
102.11,AMZN,102.75,103.95,104.2,0.6103,1.5038,587814,6,1.79
273.08,NVDA,279.66,274.53,280.0,0.686,-1.8309,420958,2,0.13
104.04,GOOGL,104.33,104.72,105.58,0.5141,0.345,160053,3,3.54
3.88,AMC,4.08,3.91,4.45,2.4701,-23.4834,412860,12,-4.34
465.0,NOC,468.73,468.1,471.94,0.3915,-0.2323,8036,0,0.0
121.23,EA,121.43,125.24,125.47,1.0756,3.2056,20708,0,0.0
212.54,META,213.39,214.72,216.24,0.5769,0.7744,512519,0,3.72
8.93,CVNA,9.44,9.5,9.72,0.3434,2.2605,23343,2,-2.01
190.32,TSLA,197.32,192.58,198.7446,0.711,-1.1244,890512,6,0.29
95.21,AMD,97.038,95.87,97.27,0.6455,-0.7146,456547,2,-2.3
130.89,IBM,131.99,131.6,132.1499,0.5043,-0.3483,51357,-1,0.0
90.36,SONY,90.78,91.01,91.145,0.9783,-0.3504,2087,0,0.0
198.65,ENPH,202.89,202.54,203.2,0.4624,-0.0296,37367,0,0.81
5.835,SOFI,6.1,5.89,6.095,0.4678,-2.3217,91863,2,-0.48
32.85,INTC,32.85,33.1,33.84,1.059,0.6385,131190,3,2.97
127.41,JPM,130.5,128.42,130.59,0.702,-1.3368,82526,0,8.08
165.11,AAPL,166.595,165.63,166.83,0.5431,-0.325,877179,0,0.86
285.67,MSFT,287.23,287.18,290.4499,0.6652,-0.0174,442895,2,-1.12
