price,open,relvolume,high,low,percentchange,symbol,watchers,hourchange,sentiment
480.475,475.74,0.5116,483.31,475.77,1.1974,NOC,8042,1,-12.5
288.22,291.57,0.4635,291.6,287.02,-0.2008,MSFT,443604,0,3.56
275.2525,275.335,1.0988,281.0802,273.57,1.9378,NVDA,421841,6,0.3
227.03,225.43,0.7244,231.31,222.23,0.9381,ENPH,37489,3,-0.84
217.8442,219.91,0.3136,220.44,216.215,-0.4641,META,512940,4,-0.84
184.7299,187.15,0.5037,187.69,183.5887,-1.2351,TSLA,891773,9,-0.82
166.4,166.1,0.5615,167.41,165.65,0.7081,AAPL,878082,6,3.3
141.51,140.27,0.7179,141.77,139.03,1.2015,JPM,82988,0,0.02
129.22,128.81,0.3926,129.38,127.82,0.8901,EA,20705,-1,0.0
127.905,128.14,0.3636,128.68,127.35,0.0665,IBM,51380,1,-1.02
104.185,106.49,0.5063,106.515,104.165,-1.6844,GOOGL,160550,-1,-1.54
102.055,103.95,0.4829,104.2,101.52,-0.6667,AMZN,588647,8,1.61
91.109,91.57,0.5921,91.86,90.995,-0.045,SONY,2086,0,0.0
89.865,91.61,0.644,92.16,89.33,-0.0056,AMD,456867,0,1.32
31.855,32.43,0.3676,32.46,31.8,-0.8867,INTC,131277,2,1.77
8.8696,9.22,0.2315,9.285,8.76,-2.1015,CVNA,23301,-4,-2.88
5.965,6.0,0.3848,6.02,5.895,0.0839,SOFI,91914,-2,-0.57
5.055,5.23,0.3029,5.212,4.98,-2.7885,AMC,413184,-1,-2.27
