high,percentchange,relvolume,low,price,open,symbol,watchers,hourchange,sentiment
6.0,0.6757,0.6655,5.81,5.96,5.89,SOFI,91919,0,0.14
270.06,0.9119,0.5878,264.36,270.02,265.655,NVDA,421738,7,-1.33
90.69,-2.049,0.7217,88.3,89.87,90.23,AMD,456849,2,-2.65
140.06,0.7929,1.0164,137.66,139.83,139.95,JPM,82973,0,0.57
9.2192,1.0033,0.273,8.68,9.06,8.91,CVNA,23310,0,-0.87
5.3,1.5625,0.3666,5.1301,5.2,5.24,AMC,413211,5,-1.29
165.39,0.0121,0.5412,164.03,165.23,165.09,AAPL,878010,10,2.31
220.979,-1.1874,0.4402,217.13,218.86,219.79,META,512925,5,0.6
189.69,1.1027,0.6825,182.7,187.04,186.32,TSLA,891656,2,0.25
128.72,-0.2497,0.5124,126.8,127.82,128.3,IBM,51378,0,-4.47
106.155,-2.6637,0.816,104.52,105.97,104.658,GOOGL,160524,4,-11.65
32.64,0.7839,0.5168,31.77,32.14,31.95,INTC,131271,2,3.63
477.68,0.4698,0.4391,471.38,474.79,472.99,NOC,8041,0,8.33
91.23,0.3192,0.9083,90.35,91.15,90.55,SONY,2088,0,0.0
291.58,0.9296,0.6118,286.2,288.8,289.93,MSFT,443554,8,2.44
103.73,0.2244,0.5299,101.59,102.74,103.16,AMZN,588609,1,-0.58
128.42,0.1642,0.4493,127.14,128.08,127.37,EA,20706,-1,-10.0
229.23,7.6687,1.7249,214.7801,224.92,215.0,ENPH,37476,3,3.43
