high,symbol,low,price,percentchange,open,relvolume,watchers,hourchange,sentiment
455.73,NOC,443.105,454.66,2.2995,445.08,0.6028,8014,3,-5.0
279.77,MSFT,275.3,278.98,0.4754,277.24,0.5988,442236,2,-3.24
271.67,NVDA,263.55,266.32,-2.0558,270.31,0.7239,420185,7,-2.07
207.574,META,203.55,205.38,0.5385,205.18,0.6826,512054,8,-2.41
203.55,ENPH,192.46,194.95,-4.7445,202.35,0.744,37272,0,3.35
192.36,TSLA,187.15,190.2,-1.0509,191.65,0.5473,889276,3,-2.78
159.95,AAPL,157.85,159.69,0.4782,158.86,0.5794,876374,2,-3.33
125.68,JPM,123.1163,124.83,-1.5847,125.63,1.2158,82362,3,-0.98
124.95,IBM,122.89,124.695,1.074,123.36,0.4568,51326,0,-0.54
119.18,EA,117.61,118.855,2.4259,118.08,0.6439,20719,0,16.67
105.36,GOOGL,103.84,105.025,-0.5445,104.99,0.5121,159715,2,-5.41
98.16,AMZN,96.4,97.9,-0.8206,98.065,0.5937,587038,2,-2.14
99.52,AMD,96.74,97.87,-2.4033,99.18,0.8772,456186,-4,-3.44
88.3,SONY,86.96,87.51,-0.861,88.3,1.091,2082,1,0.0
29.81,INTC,28.93,29.1965,0.5735,29.04,0.856,130870,0,-3.55
8.47,CVNA,7.95,8.14,-2.515,8.18,0.23,23423,-1,-1.62
5.83,SOFI,5.645,5.745,-0.6055,5.675,0.3709,91704,-1,-0.22
4.54,AMC,4.38,4.4992,0.6532,4.4,0.2316,411928,4,-0.36
