price,open,high,percentchange,symbol,relvolume,low,watchers,hourchange,sentiment
468.27,476.12,476.12,-1.7354,NOC,0.5013,467.525,8039,0,13.33
128.52,128.3,128.94,0.4926,JPM,0.6398,127.54,82601,-1,1.62
125.68,125.13,126.25,0.0478,EA,0.4521,124.74,20704,0,-13.64
5.43,5.45,5.63,3.626,AMC,0.9069,5.25,413160,0,4.55
9.76,9.79,10.85,4.8335,CVNA,0.7987,9.6,23334,0,13.41
282.83,285.75,285.87,-2.2668,MSFT,0.7591,281.64,443222,0,-2.0
196.88,195.9,199.04,0.5516,ENPH,0.3554,193.14,37408,0,-0.29
130.42,130.58,131.105,-0.4655,IBM,0.4743,130.18,51365,0,-0.83
32.35,32.66,33.11,-0.5228,INTC,0.4705,32.32,131221,0,-9.79
88.91,89.24,89.49,0.4519,SONY,0.5067,88.83,2089,0,0.0
105.35,106.55,106.73,-1.0241,GOOGL,0.583,104.68,160315,0,-0.21
94.03,96.06,96.065,-1.5186,AMD,0.7947,92.7,456717,3,2.99
5.97,5.91,6.02,1.0152,SOFI,0.662,5.86,91912,-2,2.29
271.69,277.235,277.89,-1.4866,NVDA,0.5674,271.26,421363,5,1.17
186.79,186.69,189.19,1.2357,TSLA,0.6665,185.65,891121,-1,0.49
213.85,215.48,216.02,-0.4191,META,0.4677,213.43,512720,4,-2.05
160.8,162.35,162.36,-0.7591,AAPL,0.6091,160.51,877585,7,-4.09
99.92,100.8,100.99,-2.2022,AMZN,0.8239,99.01,588166,5,-5.82
