open,symbol,low,percentchange,price,high,relvolume,watchers,hourchange,sentiment
125.13,EA,124.74,0.0478,125.68,126.25,0.4521,20704,0,-10.0
162.35,AAPL,160.51,-0.7591,160.8,162.36,0.6091,877606,-1,-3.47
186.69,TSLA,185.65,1.2357,186.79,189.19,0.6665,891155,8,0.19
100.8,AMZN,99.01,-2.2022,99.92,100.99,0.8239,588190,3,-4.46
128.3,JPM,127.54,0.4926,128.52,128.94,0.6398,82602,0,0.89
9.79,CVNA,9.6,4.8335,9.76,10.85,0.7987,23338,1,12.12
476.12,NOC,467.525,-1.7354,468.27,476.12,0.5013,8038,0,13.33
285.75,MSFT,281.64,-2.2668,282.83,285.87,0.7591,443238,2,-2.79
5.45,AMC,5.25,3.626,5.43,5.63,0.9069,413177,4,3.54
195.9,ENPH,193.14,0.5516,196.88,199.04,0.3554,37408,1,-0.55
96.06,AMD,92.7,-1.5186,94.03,96.065,0.7947,456726,2,2.96
106.55,GOOGL,104.68,-1.0241,105.35,106.73,0.583,160325,-1,-0.71
32.66,INTC,32.32,-0.5228,32.35,33.11,0.4705,131227,2,-10.69
130.58,IBM,130.18,-0.4655,130.42,131.105,0.4743,51367,0,0.0
89.24,SONY,88.83,0.4519,88.91,89.49,0.5067,2089,0,0.0
5.91,SOFI,5.86,1.0152,5.97,6.02,0.662,91921,1,3.28
277.235,NVDA,271.26,-1.4866,271.69,277.89,0.5674,421378,0,1.68
215.48,META,213.43,-0.4191,213.85,216.02,0.4677,512737,2,-2.5
