percentchange,symbol,relvolume,price,low,open,high,watchers,hourchange,sentiment
-0.4933,NOC,0.2951,477.105,476.605,480.46,482.74,8043,0,7.5
0.0763,MSFT,0.4127,288.59,284.54,285.99,289.05,443641,0,4.6
0.4861,NVDA,0.5708,278.015,272.32,273.61,278.88,421921,8,1.56
-1.6303,ENPH,0.4274,224.155,222.3,225.06,228.49,37476,-1,-1.38
-0.6563,META,0.4112,216.46,212.94,213.472,217.33,512960,-3,2.17
-0.843,TSLA,0.5308,182.7563,177.65,179.1,183.2499,891958,40,-0.65
0.7809,AAPL,0.5419,167.77,165.54,165.8,168.16,878169,19,3.05
-0.1839,JPM,0.4534,141.14,140.41,141.23,141.5,82989,-4,-0.87
-0.3875,EA,0.2868,128.54,128.08,128.58,128.9,20704,1,10.0
-1.303,IBM,0.657,126.115,125.3,126.5,126.98,51403,0,0.0
2.4927,AMZN,0.7178,104.85,101.39,101.58,105.12,588728,18,1.49
0.0766,GOOGL,0.3812,104.58,103.07,103.58,104.98,160554,0,-1.32
-0.3286,SONY,0.331,91.01,90.73,91.0,91.12,2086,0,0.0
0.2228,AMD,0.4772,89.98,88.22,88.51,90.54,456897,4,0.99
-1.7751,INTC,0.3166,31.265,31.0828,31.1,31.52,131283,0,1.78
-1.25,CVNA,0.2491,8.69,8.3,8.6,8.77,23285,-5,-4.31
1.5886,SOFI,0.4165,6.075,5.87,5.9,6.1,91947,25,0.16
0.5307,AMC,0.2636,5.0768,4.92,4.95,5.17,413181,-2,-1.84
