symbol,relvolume,low,high,price,percentchange,open,watchers,hourchange,sentiment
EA,0.5323,113.01,114.28,113.52,0.15,113.01,20730,-1,33.33
CVNA,0.3366,6.87,7.81,7.07,-7.5817,7.43,23278,-1,-1.3
AMD,1.5349,92.9,96.94,96.81,-1.0527,96.3,455940,1,-0.59
AMZN,0.7742,95.7,98.48,97.71,-1.2532,98.41,586768,1,0.31
MSFT,1.2161,269.85,277.48,272.23,-2.5767,276.98,441948,5,-0.14
JPM,1.609,126.01,129.46,127.14,1.0571,126.99,82211,1,-0.26
AMC,0.4546,4.14,4.38,4.27,2.1531,4.25,411737,7,-0.44
TSLA,0.6925,176.35,186.44,183.25,1.7321,178.08,888860,0,-0.2
NOC,0.4475,445.36,452.2,449.26,1.2759,445.27,8005,2,8.33
GOOGL,0.7301,99.88,101.75,101.22,-0.3936,100.12,159584,-1,-0.95
SONY,1.1668,87.33,89.16,88.42,2.196,87.52,2079,0,0.0
ENPH,1.1646,185.2,196.88,192.51,4.8301,189.59,37212,0,1.82
AAPL,0.8489,154.15,157.81,157.4,1.5484,155.07,876039,2,0.0
INTC,0.7742,28.63,29.9,29.16,-2.1805,29.8,130826,0,-0.69
IBM,0.7973,124.19,126.1508,125.94,1.8191,124.31,51326,-1,1.06
NVDA,0.819,251.3,260.24,259.0,0.6803,256.15,419438,1,0.64
META,0.723,193.64,199.36,197.81,1.1247,198.48,511744,0,1.39
SOFI,0.8466,5.19,5.54,5.22,-4.3956,5.47,91593,1,1.27
