low,open,price,symbol,relvolume,percentchange,high,watchers,hourchange,sentiment
138.78,139.74,140.54,JPM,0.6957,-0.1917,141.11,82969,-4,-3.66
30.225,30.84,30.3,INTC,0.5032,-1.8146,30.79,131265,-19,0.27
128.695,129.05,129.11,EA,0.504,0.2407,130.12,20700,-2,25.0
125.27,126.0,125.73,IBM,1.0535,-0.4986,126.69,51479,-8,1.87
267.2301,269.52,271.19,NVDA,0.644,0.0553,271.83,422022,-18,1.04
164.5,165.05,165.02,AAPL,0.7882,-0.9781,166.45,878259,-48,-1.95
283.0608,285.01,285.76,MSFT,0.5756,-0.1223,286.26,443705,-9,-1.79
209.76,210.21,212.89,META,0.5292,-0.0845,213.41,512981,-27,-1.62
105.08,106.1,106.96,AMZN,1.2806,3.0344,108.15,588936,-11,0.01
88.055,89.8,88.43,AMD,0.6306,-1.8644,89.72,456920,-26,0.24
7.735,7.97,8.14,CVNA,0.2397,1.75,8.29,23240,-16,-1.6
161.33,164.8,165.08,TSLA,0.7409,1.2823,166.0,892723,-18,1.11
104.79,105.47,105.41,GOOGL,0.5543,0.114,106.0,160602,-7,-1.75
91.61,91.87,92.05,SONY,0.7484,0.7332,92.38,2089,0,0.0
219.9,223.75,223.61,ENPH,0.5057,-0.5249,226.77,37487,-3,2.0
5.85,5.9,5.94,SOFI,0.4494,0.3378,5.99,91955,-9,0.06
468.84,475.72,471.99,NOC,0.6011,-0.4618,474.875,8043,-1,7.14
4.91,4.94,4.99,AMC,0.3518,0.4024,5.07,413114,-75,0.72
