relvolume,percentchange,open,price,high,symbol,low,watchers,hourchange,sentiment
0.3441,-0.0634,453.79,448.975,454.66,NOC,447.07,8009,0,0.0
0.7113,-0.0514,274.88,272.09,274.95,MSFT,269.53,441995,-4,0.37
0.8736,1.4397,261.8,262.7288,263.5,NVDA,253.82,419531,11,-0.57
0.9988,7.823,196.93,207.57,208.825,ENPH,195.44,37216,1,3.17
0.7709,1.7795,203.2,201.33,203.515,META,197.96,511803,4,1.16
0.6907,7.9291,188.28,197.78,197.99,TSLA,188.04,888949,7,-0.36
0.6625,0.9535,157.32,158.9008,159.1,AAPL,156.54,876114,-2,1.16
0.9435,2.6664,130.59,130.53,131.73,JPM,130.19,82252,5,0.19
0.3834,0.0715,126.9,126.03,127.08,IBM,125.66,51324,1,3.26
0.5573,0.8897,113.11,114.53,114.91,EA,113.11,20731,0,25.0
0.7599,3.2355,101.25,104.495,105.0996,GOOGL,101.22,159611,4,-0.94
0.5809,2.62,98.14,100.27,100.42,AMZN,98.0,586851,1,0.46
1.2232,-0.5371,97.0,96.29,99.46,AMD,93.64,455987,3,-1.5
0.5638,0.8143,89.08,89.14,89.29,SONY,88.71,2079,0,0.0
0.8991,-2.3663,29.0,28.47,29.165,INTC,27.975,130847,-1,-0.27
0.3,9.5474,7.19,7.745,8.09,CVNA,7.18,23282,6,-0.63
0.5958,6.5134,5.35,5.56,5.58,SOFI,5.3243,91589,-3,-0.56
0.3928,3.0445,4.33,4.4,4.445,AMC,4.2115,411741,2,0.67
