symbol,low,open,high,relvolume,percentchange,price,watchers,hourchange,sentiment
GOOGL,104.04,104.33,105.58,0.5141,0.345,104.72,160050,4,3.96
AMC,3.88,4.08,4.45,2.4701,-23.4834,3.91,412843,4,-5.39
NVDA,273.08,279.66,280.0,0.686,-1.8309,274.53,420951,11,0.52
EA,121.23,121.43,125.47,1.0756,3.2056,125.24,20707,1,0.0
META,212.54,213.39,216.24,0.5769,0.7744,214.72,512522,3,4.64
CVNA,8.93,9.44,9.72,0.3434,2.2605,9.5,23343,2,-2.4
TSLA,190.32,197.32,198.7446,0.711,-1.1244,192.58,890499,0,0.4
AMD,95.21,97.038,97.27,0.6455,-0.7146,95.87,456543,1,-2.02
IBM,130.89,131.99,132.1499,0.5043,-0.3483,131.6,51358,0,0.0
ENPH,198.65,202.89,203.2,0.4624,-0.0296,202.54,37368,-1,0.49
SONY,90.36,90.78,91.145,0.9783,-0.3504,91.01,2087,0,0.0
SOFI,5.835,6.1,6.095,0.4678,-2.3217,5.89,91854,0,-0.56
INTC,32.85,32.85,33.84,1.059,0.6385,33.1,131184,2,2.41
JPM,127.41,130.5,130.59,0.702,-1.3368,128.42,82528,2,7.86
AAPL,165.11,166.595,166.83,0.5431,-0.325,165.63,877176,0,1.42
MSFT,285.67,287.23,290.4499,0.6652,-0.0174,287.18,442887,0,-0.36
NOC,465.0,468.73,471.94,0.3915,-0.2323,468.1,8034,0,0.0
AMZN,102.11,102.75,104.2,0.6103,1.5038,103.95,587802,4,2.28
