high,relvolume,open,symbol,percentchange,price,low,watchers,hourchange,sentiment
126.25,0.4521,125.13,EA,0.0478,125.68,124.74,20704,0,-10.0
277.89,0.5674,277.235,NVDA,-1.4866,271.69,271.26,421372,0,1.09
216.02,0.4677,215.48,META,-0.4191,213.85,213.43,512725,4,-3.23
189.19,0.6665,186.69,TSLA,1.2357,186.79,185.65,891136,1,0.16
162.36,0.6091,162.35,AAPL,-0.7591,160.8,160.51,877605,5,-4.15
100.99,0.8239,100.8,AMZN,-2.2022,99.92,99.01,588179,0,-5.43
128.94,0.6398,128.3,JPM,0.4926,128.52,127.54,82603,1,1.62
10.85,0.7987,9.79,CVNA,4.8335,9.76,9.6,23335,0,12.8
476.12,0.5013,476.12,NOC,-1.7354,468.27,467.525,8038,0,13.33
285.87,0.7591,285.75,MSFT,-2.2668,282.83,281.64,443234,4,-2.28
5.63,0.9069,5.45,AMC,3.626,5.43,5.25,413173,11,4.56
199.04,0.3554,195.9,ENPH,0.5516,196.88,193.14,37408,0,-0.43
106.73,0.583,106.55,GOOGL,-1.0241,105.35,104.68,160324,3,-0.89
96.065,0.7947,96.06,AMD,-1.5186,94.03,92.7,456723,-3,2.77
33.11,0.4705,32.66,INTC,-0.5228,32.35,32.32,131223,2,-8.19
131.105,0.4743,130.58,IBM,-0.4655,130.42,130.18,51365,0,0.0
89.49,0.5067,89.24,SONY,0.4519,88.91,88.83,2089,0,0.0
6.02,0.662,5.91,SOFI,1.0152,5.97,5.86,91917,3,3.12
