symbol,low,relvolume,price,percentchange,open,high,watchers,hourchange,sentiment
TSLA,176.11,0.8207,184.51,-0.2972,179.94,185.0994,891035,0,-0.31
EA,123.74,0.3892,125.62,0.3675,124.79,125.8,20703,0,8.08
MSFT,284.72,0.6369,289.39,-0.7579,289.208,289.6,443161,0,-1.38
CVNA,8.62,0.3262,9.31,3.3296,9.0,9.35,23316,-2,3.21
AMZN,99.57,0.5167,102.17,0.1078,100.96,102.2,588091,9,-0.46
AMC,4.74,1.2692,5.24,6.9388,4.77,5.37,413139,-1,0.61
ENPH,188.51,0.4136,195.8,2.5131,189.09,195.9,37403,0,-2.15
NOC,470.98,0.4565,476.54,1.3074,470.98,478.17,8041,0,-16.67
SOFI,5.66,0.5343,5.91,2.7826,5.69,5.92,91907,1,1.0
AMD,91.02,0.7903,95.48,3.2551,91.32,95.79,456694,0,8.89
NVDA,266.69,0.7128,275.79,2.0047,268.23,276.2099,421311,7,2.28
AAPL,160.08,0.6369,162.03,-1.5972,161.42,162.03,877523,3,-3.62
JPM,126.22,0.5624,127.89,0.3295,126.54,128.23,82589,2,-2.49
META,210.66,0.4571,214.75,-0.6247,214.71,215.66,512686,0,-1.18
SONY,87.73,0.4657,88.51,0.3856,87.76,88.52,2088,1,0.0
GOOGL,105.12,0.6059,106.44,-1.8262,106.98,107.59,160299,3,-0.02
IBM,129.24,0.3796,131.03,0.4061,129.83,131.08,51366,0,-1.68
INTC,32.2,0.4854,32.52,-0.8839,32.6,32.76,131210,-2,-0.81
