low,high,symbol,price,percentchange,relvolume,open,watchers,hourchange,sentiment
457.495,462.27,NOC,459.816,0.1778,0.3265,459.38,8021,0,25.0
278.41,280.95,MSFT,280.9,2.0601,0.5438,278.96,442530,0,-1.71
265.97,270.6697,NVDA,270.55,2.4423,0.6697,268.25,420470,0,-1.37
202.54,205.67,META,205.52,2.4118,0.4647,203.56,512243,1,0.12
191.385,205.77,ENPH,204.35,5.5963,0.7263,196.75,37308,1,-0.62
189.44,195.28,TSLA,193.42,2.2358,0.6538,193.13,889638,9,0.48
159.35,161.0,AAPL,160.97,2.1059,0.5667,159.37,876718,11,-0.3
129.18,130.348,IBM,129.9,0.433,0.413,130.12,51343,-1,0.76
127.77,130.22,JPM,129.07,0.1474,0.8943,130.1,82460,1,-0.93
118.08,119.325,EA,119.155,0.9617,0.3275,118.08,20708,-1,0.0
100.655,102.43,GOOGL,101.455,0.4207,0.5691,102.28,159836,0,4.31
98.5801,100.41,AMZN,100.39,3.2394,0.5856,98.69,587352,2,1.22
94.87,96.91,AMD,96.43,1.9776,0.7895,96.07,456332,0,-0.21
86.74,87.98,SONY,87.98,2.5169,0.9824,86.93,2084,0,0.0
29.789,31.89,INTC,31.655,8.0744,1.5219,29.77,130911,8,7.05
7.37,7.8595,CVNA,7.83,6.3859,0.2144,7.47,23365,1,-7.63
5.65,5.9199,SOFI,5.7652,3.1342,0.6559,5.69,91762,2,-1.08
4.83,5.2084,AMC,5.0,-2.9126,0.7396,5.14,412480,-5,-0.59
