high,low,price,relvolume,symbol,percentchange,open,watchers,hourchange,sentiment
452.2,445.36,449.79,0.2811,NOC,1.3954,445.27,8002,0,9.09
277.48,269.85,270.88,1.0364,MSFT,-3.0598,276.98,441926,12,0.03
260.24,251.3,258.68,0.7201,NVDA,0.5559,256.15,419413,7,1.25
199.36,193.64,197.288,0.6083,META,0.8578,198.48,511735,-1,0.4
196.88,185.2,192.01,1.0128,ENPH,4.5578,189.59,37207,3,0.71
186.44,176.35,183.13,0.6306,TSLA,1.6655,178.08,888853,2,-0.56
157.81,154.15,157.2302,0.7177,AAPL,1.4388,155.07,876008,3,-1.19
129.46,126.01,126.84,1.4003,JPM,0.8187,126.99,82200,8,0.53
125.9115,124.19,125.23,0.5487,IBM,1.245,124.31,51324,1,1.67
114.28,113.01,113.63,0.3454,EA,0.247,113.01,20730,0,0.0
101.75,99.88,101.235,0.6048,GOOGL,-0.3789,100.12,159571,-3,-0.26
98.48,95.7,97.01,0.6844,AMZN,-1.9606,98.41,586752,5,0.76
96.79,92.9,96.29,1.3519,AMD,-1.5842,96.3,455935,3,-0.75
89.16,87.33,88.43,0.9106,SONY,2.2076,87.52,2079,0,0.0
29.9,28.63,29.175,0.5757,INTC,-2.1302,29.8,130822,0,-0.38
7.81,6.87,6.9098,0.2816,CVNA,-9.6758,7.43,23282,0,-1.89
5.54,5.235,5.2412,0.6761,SOFI,-4.0073,5.47,91584,0,1.07
4.38,4.14,4.285,0.3832,AMC,2.512,4.25,411738,-8,-0.63
