relvolume,percentchange,open,symbol,low,price,high,watchers,hourchange,sentiment
0.1985,-0.1068,459.38,NOC,458.0836,458.51,462.27,8021,1,2.78
0.393,1.4134,278.96,MSFT,278.41,279.12,280.65,442530,6,-2.27
0.5032,1.5979,268.25,NVDA,265.97,268.32,270.6697,420470,-1,-1.86
0.3393,2.2324,203.56,META,202.54,205.16,205.28,512242,0,-0.64
0.5008,4.4233,196.75,ENPH,191.385,202.08,203.05,37307,1,0.07
0.5186,1.036,193.13,TSLA,189.44,191.1501,195.28,889629,8,-0.37
0.411,1.4906,159.37,AAPL,159.35,160.0,160.46,876707,5,-1.19
0.2958,0.0155,130.12,IBM,129.18,129.36,130.348,51344,0,0.52
0.4907,0.0854,130.1,JPM,128.72,128.99,130.22,82459,0,-2.87
0.2181,0.6016,118.08,EA,118.08,118.73,118.97,20709,0,0.0
0.421,0.2672,102.28,GOOGL,100.655,101.3,102.43,159836,4,2.29
0.4418,2.355,98.69,AMZN,98.5801,99.53,100.29,587350,5,1.41
0.5971,1.0152,96.07,AMD,94.87,95.52,96.91,456332,-1,-0.57
0.614,2.0974,86.93,SONY,86.74,87.62,87.64,2084,0,0.0
1.0354,6.8795,29.77,INTC,29.789,31.305,31.46,130903,0,4.99
0.1608,3.6739,7.47,CVNA,7.37,7.6304,7.7701,23364,-3,-8.24
0.4965,2.6834,5.69,SOFI,5.65,5.74,5.9199,91760,-2,-1.65
0.6557,-3.5922,5.14,AMC,4.83,4.965,5.2084,412485,2,0.33
