symbol,low,high,relvolume,open,percentchange,price,watchers,hourchange,sentiment
NOC,462.72,471.18,0.2909,463.3,1.9492,470.72,8030,0,0.0
MSFT,283.95,288.27,0.4911,286.52,-1.3666,284.36,442828,3,-0.87
NVDA,273.36,279.91,0.5368,275.09,-0.8208,275.49,420819,4,0.31
META,208.2001,211.74,0.3529,208.84,-0.5096,210.86,512444,0,0.2
ENPH,201.6293,215.8856,0.6315,213.98,-3.7331,202.43,37370,3,1.7
TSLA,192.2,202.6897,0.7728,199.91,-6.8688,193.21,890303,5,-1.72
AAPL,164.27,165.89,0.4785,164.27,-0.097,164.74,877059,6,0.34
IBM,130.77,132.61,0.3226,130.97,0.8277,132.175,51351,0,2.08
JPM,129.41,131.43,0.4423,129.91,-0.023,130.28,82510,0,4.02
EA,119.6,120.96,0.3546,120.14,0.2491,120.75,20708,0,0.0
GOOGL,102.11,103.79,0.3452,102.39,-0.7134,102.99,160006,2,1.2
AMZN,101.43,103.29,0.4114,102.3,-1.7039,101.53,587674,3,1.02
AMD,94.81,96.79,0.5925,96.695,-2.7395,95.325,456500,1,-1.17
SONY,90.455,91.01,0.6936,90.41,0.1743,90.808,2089,0,0.0
INTC,32.54,33.56,0.8228,32.94,0.1837,32.73,131144,0,-0.59
CVNA,9.12,10.16,0.3914,9.64,-6.3841,9.165,23351,-3,0.88
SOFI,5.94,6.275,0.6351,6.14,-0.9885,6.01,91843,1,-1.05
AMC,4.94,5.145,0.3908,4.99,1.1976,5.07,412504,-1,0.19
