relvolume,symbol,open,price,low,percentchange,high,watchers,hourchange,sentiment
0.3347,NOC,453.79,448.95,447.07,-0.069,454.66,8009,0,0.0
0.6958,MSFT,274.88,271.65,269.53,-0.2131,274.95,441995,-4,0.37
0.8475,NVDA,261.8,262.5791,253.82,1.3819,263.5,419531,11,-0.57
0.9875,ENPH,196.93,207.1388,195.44,7.599,208.825,37216,1,3.17
0.7544,META,203.2,201.04,197.96,1.6329,203.515,511803,4,1.16
0.6738,TSLA,188.28,197.501,188.04,7.7768,197.55,888949,7,-0.36
0.6473,AAPL,157.32,158.74,156.54,0.8513,159.1,876114,-2,1.16
0.9223,JPM,130.59,130.485,130.19,2.631,131.73,82252,5,0.19
0.3689,IBM,126.9,126.02,125.66,0.0635,127.08,51324,1,3.26
0.5356,EA,113.11,114.435,113.11,0.806,114.91,20731,0,25.0
0.743,GOOGL,101.25,104.26,101.22,3.0034,105.0996,159611,4,-0.94
0.5688,AMZN,98.14,100.27,98.0,2.62,100.42,586851,1,0.46
1.196,AMD,97.0,96.415,93.64,-0.408,99.46,455987,3,-1.5
0.5598,SONY,89.08,89.07,88.71,0.7351,89.29,2079,0,0.0
0.8853,INTC,29.0,28.471,27.975,-2.3628,29.165,130847,-1,-0.27
0.294,CVNA,7.19,7.71,7.18,9.0523,8.09,23282,6,-0.63
0.5852,SOFI,5.35,5.545,5.3243,6.2261,5.58,91589,-3,-0.56
0.3852,AMC,4.33,4.3896,4.2115,2.8009,4.445,411741,2,0.67
