high,relvolume,open,symbol,percentchange,price,low,watchers,hourchange,sentiment
30.79,0.5032,30.84,INTC,-1.8146,30.3,30.225,131286,0,-1.16
141.11,0.6957,139.74,JPM,-0.1917,140.54,138.78,82973,-1,-3.92
130.12,0.504,129.05,EA,0.2407,129.11,128.695,20702,0,10.0
286.26,0.5756,285.01,MSFT,-0.1223,285.76,283.0608,443720,-1,-1.66
271.83,0.644,269.52,NVDA,0.0553,271.19,267.2301,422040,3,1.39
126.69,1.0535,126.0,IBM,-0.4986,125.73,125.27,51487,0,1.75
213.41,0.5292,210.21,META,-0.0845,212.89,209.76,513005,3,-1.19
166.45,0.7882,165.05,AAPL,-0.9781,165.02,164.5,878310,878298,-1.5
89.72,0.6306,89.8,AMD,-1.8644,88.43,88.055,456942,0,0.91
108.15,1.2806,106.1,AMZN,3.0344,106.96,105.08,588940,4,0.55
166.0,0.7409,164.8,TSLA,1.2823,165.08,161.33,892747,9,1.13
106.0,0.5543,105.47,GOOGL,0.114,105.41,104.79,160606,-1,-0.92
8.29,0.2397,7.97,CVNA,1.75,8.14,7.735,23257,0,-1.24
226.77,0.5057,223.75,ENPH,-0.5249,223.61,219.9,37490,3,1.65
92.38,0.7484,91.87,SONY,0.7332,92.05,91.61,2089,0,0.0
5.99,0.4494,5.9,SOFI,0.3378,5.94,5.85,91962,2,0.01
474.875,0.6011,475.72,NOC,-0.4618,471.99,468.84,8044,0,1.43
5.07,0.3518,4.94,AMC,0.4024,4.99,4.91,413187,2,0.21
