price,open,low,high,symbol,relvolume,percentchange,watchers,hourchange,sentiment
208.9,209.77,204.67,214.57,ENPH,0.6939,-0.3767,37426,4,-3.37
127.87,127.98,127.45,128.53,EA,0.4028,-0.3196,20705,0,0.0
90.86,90.85,90.412,91.46,SONY,0.8867,0.4089,2088,0,0.0
185.0,183.95,182.01,186.28,TSLA,0.5598,-0.4841,891435,9,0.43
31.89,32.0,31.69,32.235,INTC,0.4201,-0.747,131241,0,-1.3
5.12,5.74,4.9,5.75,AMC,0.9005,-6.2271,413215,1,-0.66
5.92,5.99,5.77,6.03,SOFI,0.6398,1.0239,91900,1,-0.83
472.57,470.55,468.765,473.09,NOC,0.3372,-0.3353,8040,0,0.0
267.58,265.04,262.2,268.83,NVDA,0.7461,1.1148,421602,5,-0.7
286.14,287.0,283.69,288.48,MSFT,0.5743,-1.2766,443403,0,-0.17
8.97,9.47,8.68,9.798,CVNA,0.3345,-4.2689,23325,0,-2.58
91.75,91.82,90.5,92.97,AMD,0.5911,-0.3692,456769,0,0.36
102.51,102.07,101.11,103.2013,AMZN,0.7199,0.1074,588478,5,0.97
221.49,217.88,217.56,222.11,META,0.6378,0.5174,512854,0,1.21
128.14,128.46,127.31,129.84,IBM,0.6373,0.1876,51370,0,-6.55
108.87,106.89,106.88,108.935,GOOGL,0.566,1.3404,160402,0,-0.3
165.21,164.59,163.83,166.32,AAPL,0.6406,-0.2114,877859,4,1.16
138.73,135.15,134.9001,139.12,JPM,3.0765,7.551,82936,0,4.64
