relvolume,open,symbol,percentchange,high,low,price,watchers,hourchange,sentiment
0.6957,139.74,JPM,-0.1917,141.11,138.78,140.54,82968,-1,-3.86
0.5032,30.84,INTC,-1.8146,30.79,30.225,30.3,131265,0,-2.0
0.504,129.05,EA,0.2407,130.12,128.695,129.11,20700,0,25.0
1.0535,126.0,IBM,-0.4986,126.69,125.27,125.73,51479,0,1.87
0.644,269.52,NVDA,0.0553,271.83,267.2301,271.19,422025,3,0.86
0.7882,165.05,AAPL,-0.9781,166.45,164.5,165.02,878262,0,-1.85
0.5756,285.01,MSFT,-0.1223,286.26,283.0608,285.76,443707,2,-2.57
0.5292,210.21,META,-0.0845,213.41,209.76,212.89,512985,4,-1.82
1.2806,106.1,AMZN,3.0344,108.15,105.08,106.96,588928,7,-0.26
0.6306,89.8,AMD,-1.8644,89.72,88.055,88.43,456922,0,-0.17
0.2397,7.97,CVNA,1.75,8.29,7.735,8.14,23240,0,0.73
0.7409,164.8,TSLA,1.2823,166.0,161.33,165.08,892727,0,1.13
0.5543,105.47,GOOGL,0.114,106.0,104.79,105.41,160605,3,-1.92
0.7484,91.87,SONY,0.7332,92.38,91.61,92.05,2083,-6,0.0
0.5057,223.75,ENPH,-0.5249,226.77,219.9,223.61,37486,-1,2.04
0.4494,5.9,SOFI,0.3378,5.99,5.85,5.94,91955,0,0.23
0.6011,475.72,NOC,-0.4618,474.875,468.84,471.99,8043,0,7.14
0.3518,4.94,AMC,0.4024,5.07,4.91,4.99,413110,-4,0.94
