open,price,high,symbol,low,percentchange,relvolume,watchers,hourchange,sentiment
470.98,477.38,478.12,NOC,471.57,1.486,0.2953,8041,-1,-8.33
289.208,288.89,289.208,MSFT,284.72,-0.9294,0.4967,443153,5,-1.03
268.23,275.19,275.9,NVDA,266.69,1.7827,0.584,421301,10,1.54
214.71,215.015,215.15,META,210.66,-0.5021,0.354,512688,2,-1.05
189.09,194.13,194.84,ENPH,188.51,1.6387,0.3082,37403,0,-1.46
179.94,184.79,185.04,TSLA,176.11,-0.1459,0.676,891035,15,-1.29
162.43,161.75,161.86,AAPL,160.08,-1.7673,0.5056,877511,14,-2.28
129.83,130.74,131.02,IBM,129.24,0.1839,0.2585,51367,0,-0.93
126.54,127.71,128.22,JPM,126.22,0.1883,0.4134,82588,5,-2.19
124.79,125.655,125.66,EA,123.74,0.3955,0.2393,20704,0,8.08
106.98,106.53,107.59,GOOGL,105.12,-1.7432,0.4822,160288,7,-0.26
100.96,101.795,101.8674,AMZN,99.57,-0.2597,0.4025,588079,10,-0.49
91.32,95.6393,95.79,AMD,91.02,3.4274,0.6172,456689,7,5.97
87.76,88.21,88.22,SONY,87.73,0.0454,0.2619,2087,0,0.0
32.6,32.565,32.76,INTC,32.2,-0.7467,0.3533,131220,0,0.83
9.0,9.195,9.35,CVNA,8.63,2.0533,0.2356,23319,-4,1.19
5.69,5.835,5.855,SOFI,5.66,1.4783,0.3899,91903,1,0.35
4.77,5.2305,5.37,AMC,4.74,6.7449,1.0462,413141,1,0.56
