symbol,open,low,relvolume,high,percentchange,price,watchers,hourchange,sentiment
EA,125.24,124.85,0.7325,126.27,0.7266,126.15,20706,0,10.71
AMZN,103.91,100.7506,0.5813,103.91,-2.7417,101.1,587878,0,-0.81
AAPL,164.74,161.8,0.6702,165.05,-1.129,163.76,877264,7,-9.03
AMD,94.35,91.36,0.7872,94.5,-3.4526,92.56,456580,2,-1.32
NOC,467.22,467.22,0.5536,473.6,0.6003,470.91,8036,0,0.0
CVNA,9.38,8.39,0.3189,9.38,-10.5263,8.5,23329,0,-1.79
NVDA,268.29,263.95,0.9568,269.98,-2.0836,268.81,421063,3,-3.49
META,214.15,209.95,0.5446,215.19,-1.5089,211.48,512554,2,-4.18
AMC,4.07,3.94,0.7224,4.09,3.5806,4.05,412899,7,-0.47
MSFT,285.85,282.95,0.5843,287.145,-0.9889,284.34,442952,3,-3.43
JPM,126.8,126.46,0.609,128.15,0.1491,127.61,82526,1,-2.03
TSLA,190.515,183.76,0.7518,190.68,-3.666,185.52,890624,0,-1.53
SONY,89.9,89.5312,0.7198,90.02,-1.4943,89.65,2087,0,0.0
IBM,131.37,131.37,0.4187,132.61,0.4103,132.14,51365,-1,0.0
SOFI,5.87,5.5801,0.786,5.87,-2.5467,5.74,91878,4,0.15
GOOGL,105.78,103.66,0.6109,106.1,-0.2387,104.47,160107,2,-0.01
INTC,32.795,32.335,0.7132,32.985,-0.8157,32.83,131191,2,-1.85
ENPH,200.0,187.73,0.8384,201.62,-4.3794,193.67,37385,4,0.2
